applicationGUID,application,applicationID
52889b10-d2ff-11dc-1322-000d609809a6,Outlook,1325
b9b71340-c3b9-11da-20c9-000c29c08cb4,Bloomberg,272
5e524ca8-921d-11ea-4b37-001dd8b72a50,BBS - Bund Bidding System,202
b0c32652-aee3-11ea-4b37-001dd8b72a50,TODEAL COLTIT Access Client to Aste Bankit,1725
2df294b0-55ce-11de-23a9-00505682243b,Murex,1195
b9b71343-c3b9-11da-20c9-000c29c08cb4,Reuters,1514
65a339c0-e8dc-11e0-23ac-00505682243b,Consulting ABC 1,427
820b9dd0-6cd8-11e0-23ac-00505682243b,PEC Certified Electronic Mail,1345
f109aa78-4f32-4630-b659-ef174ca23dd5,Web Complaints,1851
8a2f36e2-df2a-11e7-2249-001dd8b721ea,GESPI Foreclosure Management,787
71d1a590-0e8c-11e0-23ac-00505682243b,HU00 Main menu Introduction,882
7e370cf2-2334-11ea-1911-001dd8b72a55,WEB APP RPA - Robotic Process Automation,1820
de626c61-77bc-11e9-2249-001dd8b721ea,LEGIN LEGAL INVENTORY,1052
a1c2baa2-c8a6-11e8-2249-001dd8b721ea,Tagetik Consolidated Financial Statements,1744
788d84f2-59a1-11ec-43a8-001dd8b72a55,CLASS,331
da56e654-d847-11df-23ab-00505682243b,SCI New General Ledger Accounting,1603
b601d061-d6be-11e4-2688-00101818ed80,MOCRED,1122
849f3500-0fe4-11de-23a9-00505682243b,155093 SAP R/3 Accounts Payable,53
956394b9-76bc-11e7-2249-001dd8b721ea,PARTY Participation management,1336
5173d7f0-4c1a-11dd-23a9-00505682243b,LIBRA,1057
6309e902-6a2d-11de-23a9-00505682243b,SIRE,1615
301bc624-5274-11e7-2688-00101818ed80,NSIL - Leasing Information System,1271
fb3f8912-e33f-11e8-2249-001dd8b721ea,EPC Leasing,626
37a64a80-0291-11db-20c9-000c29c08cb4,Excel,677
d4846e42-ee60-11e8-2249-001dd8b721ea,ARCHIBUS Real Estate Management,140
ec1ed372-5cfb-11e8-2249-001dd8b721ea,NAG Registry of Group Counterparties,1229
656a8fe0-42c1-11e2-714a-002655d352c9,Related Parties Associated Persons IAS 24 - TRANSACTIONS,1493
e5033636-e28f-46ec-840f-75b42d36017e,Checking names Black List Checker,402
14582b22-565a-11eb-43a8-001dd8b72a55,Microsoft Teams,1186
31671fa8-ad33-11e9-6ab0-001dd8b72a56,Help4U - Goods and Services,888
ef47b8e5-9d6a-11e9-2249-001dd8b721ea,Help4U - Assistance,887
9a2efd11-fee9-11df-23ab-00505682243b,The FOX,1758
b4180040-5cec-11da-73b9-000c29952879,Condor +,423
d0fc4a50-43b9-11df-23a9-00505682243b,Documentum,581
b2e1a5ee-fbc8-4084-a1f8-ba22159ba1df,MR00 Medium and long-term loans,1154
158a39d0-d3f9-11dc-1322-000d609809a6,FINER Loans disbursement,703
c7ecb430-65a6-11e0-23ac-00505682243b,BONIF Unique interface for entering a single bank transfer,231
a756ab16-2817-11e2-714a-002655d352c9,ABC00 Management of Authorization Events,119
2ab09edc-2f34-4fa4-a9c4-c48ef9cb0f83,Abroad,154
c1cd4cbe-345a-49a3-8c02-09f162045a76,EasyDocWeb,665
71be15c8-06cd-11e0-23ab-00505682243b,A000 Order Management Introduction,100
0d2c3492-891d-11dc-1322-000d609809a6,150654 - R4M0-Classification - Queries and Variations,26
bd80a390-1277-11e4-2688-00101818ed80,SIGNATURES - View signature,1613
c2f22550-fcba-11df-23ab-00505682243b,A000 Administered Deposit Management Introduction,68
5e2c270b-921d-11ea-4b37-001dd8b72a50,Algorithmic strategy repository,175
9bf6a1e1-0f45-11e5-2688-00101818ed80,Real Time Collateral,1484
bf2506d5-cd63-4a0d-9f91-b3a1dab76590,ASNA Pension Funds and PIP,149
c7cfa411-bd30-11e2-714a-002655d352c9,FATCA CRS Engine,693
c3f730e3-a7ae-11e0-23ac-00505682243b,GIANOS 3D Completion of this adequate verification of physical and legal person,797
4395df11-7593-11dc-1322-000d609809a6,Group Ratings,872
6fee7681-c5cb-11e5-2688-00101818ed80,Early Warning System of Corp.Sov.e Finv.inst. Group,662
03694582-72c5-45b4-b6de-d4aa5d0c1c96,Overall Risk Position,1327
5812cd61-9a3c-11e4-2688-00101818ed80,PEF5 Corporate Credit Portal,1349
575571b1-4c33-11e7-2688-00101818ed80,For Funding,749
4395df10-7593-11dc-1322-000d609809a6,Basel 2 Regulatory Segmentation,268
b7483791-9d2b-11eb-6da1-001dd8b72a57,Digital Smart Loading,565
b80ec033-80c1-11eb-43a8-001dd8b72a55,ONE Concession of Credit,1304
0d2db847-5101-11ec-60ce-001dd8b72a56,ONE Concession of OTS Credit,1305
87c643a0-2022-11e1-714a-002655d352c9,Query Builder,1440
da56e652-d847-11df-23ab-00505682243b,SCI New General Accounting Common functions,1597
8cbdab60-7553-11df-23ab-00505682243b,EBAAS LIFE insurance front end,607
