controlGUID,controlCategory,control,controlID,controlType
843e9772-751c-11ea-6ab0-001dd8b72a56,Other,Verify and validate the entered data,2270,Manual
ea66dbf2-4046-11eb-275f-001dd8b72a50,Other,Check resetting of the EOD folder,740,empty
e72fb5e2-2815-11eb-275f-001dd8b72a50,Other,Verify compliance with Hedges,2319,empty
cd494072-751e-11ea-6ab0-001dd8b72a56,Professional,Check and validate the data entered in the position keeping,335,Manual
bf9c3438-6a60-11e8-2249-001dd8b721ea,Other,Verify the correct communication to the SGR,3279,Manual
cfc99adf-05ac-11e8-2249-001dd8b721ea,Operational,Verify and/or complete the application,2273,empty
7f2dd536-059b-11e8-2249-001dd8b721ea,Operational,Supervise the processing of documents,2114,Semi-automatic
c1054841-bb40-11e8-2249-001dd8b721ea,Other,Check the diagnostic results,1388,Semi-automatic
5e707ccd-cea7-11e7-2249-001dd8b721ea,Other,Check the diagnostic results,1388,Semi-automatic
d740a910-389e-11ec-43a8-001dd8b72a55,Other,Check the correctness and completeness of the compilation,1221,Manual
f6f998f2-498a-11ec-43a8-001dd8b72a55,Other,    Check the completeness of the answers received,0,Manual
c1054815-bb40-11e8-2249-001dd8b721ea,Other,Verify correspondence of accounting balances with balance sheet results,2549,Manual
c3d223c4-3a46-11e7-2688-00101818ed80,Other,Verify correspondence of the accounting balances with the Budget application,2550,Manual
1cc9041e-ae97-11e7-2249-001dd8b721ea,Other,Check that the data has been loaded correctly,804,Manual
5e707ca8-cea7-11e7-2249-001dd8b721ea,Other,Check aggregated data in summary files,313,Manual
a28c340a-8ac1-11ea-1911-001dd8b72a55,Other,Verify the correct application of the Group Accounting Rules,3241,Manual
c3d223be-3a46-11e7-2688-00101818ed80,Other,Check for rejects,595,Semi-automatic
7b33ac28-9be9-11e9-2249-001dd8b721ea,Other,Attest the certification of the phases,95,Manual
f54fd5ed-ac72-11e9-6ab0-001dd8b72a56,Other, Check the completeness and accuracy of the NI Financial Statement tables / disclosures,15,Manual
fc614280-7baa-11e9-2249-001dd8b721ea,Operational,Verify correct implementation on the management system,2467,Manual
025ab420-4dde-11ec-275f-001dd8b72a50,Other,Check the accounting of capital gains or losses,892,Manual
78feecf2-b1c0-11e8-2249-001dd8b721ea,Professional,Check documentation completeness,463,Manual
073c2064-ee77-11e8-2249-001dd8b721ea,Professional,Check proposal data for large amounts,724,Manual
d383e494-284a-11ec-60ce-001dd8b72a56,Other,Check the completeness of the Document,1020,empty
6cb24db7-12d8-11e7-2688-00101818ed80,Other,Verify Beneficiary Use Request,2190,Manual
35e73334-12e3-11e7-2688-00101818ed80,Other,Check the correctness of the documentation,1271,Manual
0f94299c-aa60-11e7-2249-001dd8b721ea,Other,Verify the correctness of the data entered in the system,3665,Manual
0f94298f-aa60-11e7-2249-001dd8b721ea,Other,Check the correctness of the documentation,1271,Manual
3f51c412-4521-11e7-2688-00101818ed80,Other,Check the correctness of the documentation,1271,Manual
dbe5b4cd-4121-11e7-2688-00101818ed80,Other,Check that the TEG has been checked,775,Manual
3528bdd1-5260-11e7-2688-00101818ed80,Commercial,Check the data proposed by the procedure,1367,empty
48031407-1eb3-11e7-2688-00101818ed80,Commercial,Verify contractual fulfillment,2386,Manual
0fb8a1f3-1005-11e9-2249-001dd8b721ea,Other,Verify correct identification of the type of List,2464,empty
e2dbc571-1007-11e9-2249-001dd8b721ea,Other,Check List,285,empty
1a7d8bdc-0f4b-11e9-2249-001dd8b721ea,Other,Verify the presence and correctness of the Price Sensitivity Form,3967,empty
d8431710-f61e-11ec-275f-001dd8b72a50,Other,Verify the updating of the data in the system in case of uncompleted operations,4036,Manual
492e577c-495e-11ec-60ce-001dd8b72a56,Other,Check the data entered in the system,1354,Manual
0a3b3ac9-495e-11ec-60ce-001dd8b72a56,Other,Verify the correct and complete compilation of the form,3210,Manual
dda39f37-a693-11e6-2688-00101818ed80,Other,Verify correct accounting entry of journal entries,2392,Manual
3698d9b2-6616-11e7-7823-00155d86fd3a,Other,Check the report,1593,
f7596e50-870d-11eb-43a8-001dd8b72a55,Other,Check the first note entered,1448,Semi-automatic
123f8320-8714-11eb-43a8-001dd8b72a55,Other,Check accounting ledgers,308,Semi-automatic
60761d67-f408-11e9-4b37-001dd8b72a50,Other,Verify the correct execution of the pre-processing,3373,Semi-automatic
92a5875d-f40b-11e9-4b37-001dd8b72a50,Other,Verify the correct execution of the pre-processing,3373,Semi-automatic
60761d86-f408-11e9-4b37-001dd8b72a50,Other,Check the correctness of the calculated values for the metrics,1248,Semi-automatic
0dfb1aff-09f1-11ea-1911-001dd8b72a55,Other,Check the correctness of the calculated values for the metrics,1248,Semi-automatic
54280c9c-f407-11e9-4b37-001dd8b72a50,Other,Verify the correctness/completeness of the input data,3813,Semi-automatic
fd4af87d-f40a-11e9-4b37-001dd8b72a50,Other,Verify the correctness/completeness of the input data,3813,Semi-automatic
d0ac1cd5-946f-11e6-2688-00101818ed80,Other,Verify the correct assumption of the resolution,3250,Manual
83945009-946d-11e6-2688-00101818ed80,Other,Verify the installment/income ratio and the absence of negative/prejudicial news,3920,empty
80b0c8a6-47a7-11e8-2249-001dd8b721ea,Other,Check the data entered in the procedure,1352,Manual
f5249c22-c77f-11e6-2688-00101818ed80,Other,Verify the correctness of the data entered in the procedure,3664,Manual
983997dc-47a4-11e8-2249-001dd8b721ea,Other,Verify completeness/correctness of documentation,2315,Manual
a15073fd-25db-11e8-2249-001dd8b721ea,Other,Verify the correctness of the expenses for calculating the TEG set out in the procedure,3710,Manual
983997ef-47a4-11e8-2249-001dd8b721ea,Other,Verify the correctness of the Declaration of expenses incurred,3579,Manual
d0ac1cca-946f-11e6-2688-00101818ed80,Other,Verify completeness and correctness of the documentation,2305,Manual
36baa8d5-0754-11e8-2249-001dd8b721ea,Operational,Check loading locations,678,Manual
e95c23e5-475a-11ea-6ab0-001dd8b72a56,Other,Check the received file,1569,Semi-automatic
be6f3909-847d-11ea-1911-001dd8b72a55,Other,Verify the correctness of the creditworthiness delta,3657,
8d48f731-8479-11ea-1911-001dd8b72a55,Other,Check the consistency of prices for the instruments received,1089,
55e0b9d4-889f-11ea-1911-001dd8b72a55,Other,Check the new assessment,1504,
f1ee406e-8473-11ea-1911-001dd8b72a55,Other,Verify the correctness of prices and accounting records,3575,
