activityID,applicationID
17339,514
17092,1338
28089,662
17939,1265
17937,298
17938,298
32043,298
28099,514
28099,1340
28099,1338
28099,662
28088,662
28072,662
17936,1265
17941,1265
33643,1338
33643,514
17940,1265
34547,1338
33641,1338
34546,1338
28070,662
28070,298
28071,662
28071,298
12972,1338
28144,298
33644,1338
33642,1338
12971,1338
4441,514
22144,514
21496,746
22143,514
4440,514
21494,746
21493,746
23684,514
28809,936
28809,514
28809,1865
11638,988
28394,988
35142,920
28396,988
17149,988
21629,988
11637,988
17146,988
28395,988
13005,514
13005,988
13005,936
17147,514
17147,988
17148,988
16616,1717
16616,1865
3573,1168
26509,1168
12866,1168
12867,1168
25460,891
29493,891
7175,891
33807,891
3572,1168
26508,1168
26508,1681
20621,1168
26812,1168
26812,1681
25459,891
20198,1304
20198,1168
20198,1681
20198,949
20198,1082
4056,1681
4056,1168
12865,1681
12865,1168
27732,1168
20620,1168
475,1168
16662,1168
17477,507
17477,726
17477,1168
22527,1168
33578,1168
21101,317
21101,1908
20147,514
20147,1908
14039,514
4768,514
4768,317
34688,514
34688,317
353,366
16522,1908
16522,1624
16361,1908
16361,514
16362,514
16362,1908
14040,317
14040,1842
14040,514
10891,745
10891,1784
16523,1624
4769,1624
21100,1624
21100,317
21100,1908
20746,514
1088,317
1088,514
4767,514
11581,514
20919,126
11582,514
10094,514
24785,514
20920,514
20920,126
10096,514
20921,126
10095,514
7927,321
12241,321
8997,321
24969,321
21329,1857
3790,321
8996,321
12930,321
27074,514
27074,321
12240,321
12059,321
21328,1857
27075,514
27075,321
7925,321
7926,321
3791,321
15484,321
7928,321
13107,321
17402,1116
17402,1294
18436,514
954,514
14660,1600
25966,1291
7574,1600
7575,133
17403,1525
17403,1200
956,514
7577,1294
7577,1116
7576,278
32957,514
18434,1291
17400,1600
2661,514
18435,1291
5267,514
25967,1291
25967,1448
30157,1600
27106,826
27143,514
27143,826
7484,514
7484,826
27107,826
27085,1842
9831,72
9831,746
27145,1402
27086,1294
27086,826
27086,514
27084,514
27142,1474
27141,514
27109,826
27147,514
18294,514
18294,366
27300,514
32017,514
32017,624
13990,514
13990,366
22770,624
22770,514
27289,514
31999,624
15255,624
32028,514
32023,1125
20628,514
32000,624
32026,624
20629,624
27301,624
32002,1125
27294,514
27290,514
9792,514
9792,624
32020,624
