activityID,riskID
9852,653
9852,1424
2536,2449
9852,1449
17442,3012
19445,2284
19572,2284
22835,2083
22836,2083
11221,9
1607,946
17504,1276
17496,993
9638,1207
9638,1032
16093,2158
16093,1242
3932,2856
16387,2147
14173,1706
14173,2875
14444,837
3173,1871
17058,911
20121,901
16696,1401
9680,199
22348,197
22915,199
11879,2815
7934,1413
12494,2301
3286,578
24761,2028
536,2319
12916,8
17347,1434
21852,1745
19409,1086
15736,2036
7601,2030
8871,2944
11520,2121
11420,366
11422,1431
6728,1762
8704,1305
8705,1305
17202,3227
14026,1681
16307,1376
425,1110
24044,2629
3715,1571
19852,3161
20979,941
1788,1906
3399,1564
3399,2677
3713,1878
3716,1571
19440,1170
19690,993
24645,87
323,1735
9379,2566
24709,87
16963,1595
9913,1531
14676,1876
2840,1876
1308,941
6580,2815
1928,1053
9706,964
9706,1625
507,335
16647,212
16647,3094
1437,1488
14084,1980
14691,1474
4049,1530
13720,1980
3032,1588
17463,1614
2674,797
547,806
13333,1413
13588,993
9782,1428
12860,2768
11988,1428
11273,1363
9830,1423
24144,1428
13306,1654
21062,1854
8389,1854
8389,2915
16207,806
13340,1363
11274,1363
1244,1413
9783,1428
13619,795
17462,1413
17462,796
9768,1428
16920,1363
9424,1413
1079,1018
1079,1459
15742,1815
23921,1144
20923,2669
11326,2926
12097,2513
22440,2428
5967,2460
14039,3032
13914,3032
14577,2513
9381,2428
13655,691
9383,2428
5967,3032
10025,1428
6605,2850
24447,1218
23526,268
23526,267
344,1425
24558,790
23788,790
23403,668
1496,2571
9176,1274
9176,3116
9176,1708
14793,1707
6569,33
6569,1525
6569,97
703,3091
12487,1475
16737,1197
9100,1203
12995,1203
19031,1203
22046,1203
6694,1203
22020,1203
11010,3169
17053,2224
17054,2224
3669,1828
3669,1078
11008,1275
10708,2157
17508,754
2104,2156
7686,1380
14664,1320
6599,1093
17559,75
11026,2793
17665,3062
379,2938
10589,2439
24700,2893
24763,578
12624,578
2128,578
843,880
24762,2893
24699,2893
819,880
10558,578
24701,2893
24760,2893
824,880
10559,578
10543,2893
6489,1356
6490,3007
15277,3027
6544,2209
6547,2209
22464,2426
11891,2855
16849,1750
1082,1787
27380,725
24649,1043
27360,2855
8651,887
13830,1078
3322,525
5178,1535
15454,1485
24094,3120
21519,2321
20542,2953
10451,2440
5626,1348
14558,1044
20299,406
10514,773
14700,1044
20314,406
14746,2292
2132,1745
22337,1745
22337,185
6702,492
3350,3123
15779,2514
8213,188
2312,186
1025,2294
10905,2514
10905,188
1281,2523
1281,2514
10891,2513
2312,2900
1499,2766
1498,2767
11355,1671
11355,936
22355,2764
3008,2127
3269,1279
22610,2061
9822,2080
3207,2075
13913,3145
24420,2716
2868,2654
13982,303
12423,1340
11991,1540
8426,1196
8424,2600
8420,2625
9627,3078
2636,3139
11446,2551
14329,1116
24058,1863
401,1139
20393,2550
11445,2552
11447,2547
15257,1413
13783,2261
20441,1175
10977,2788
10748,2469
16716,3156
17236,1382
19565,1898
11220,2911
13672,3039
15252,203
323,3009
15251,203
6959,316
3129,321
19366,130
7722,1248
7722,1309
7722,1247
1635,709
21643,493
22631,2225
11387,1337
11388,2996
23608,2996
14290,2996
11390,2999
23607,2996
86,2786
10469,2578
11174,1604
2430,2584
24527,1428
2570,2486
21695,1014
9365,298
18550,1808
17217,2781
13575,993
16130,784
13712,1413
22261,2915
23437,781
11125,1983
17867,1413
3101,1413
3993,1413
10888,557
9741,2389
7137,2480
21502,2664
384,2332
384,1009
384,984
17499,1036
20817,1036
3303,1656
24620,3108
13463,1384
2537,370
19570,1810
11461,1413
11957,823
19028,1007
24187,1413
9976,300
22464,2426
20512,3098
6660,1949
2410,1267
12435,99
17175,1947
17175,1270
11663,1955
7931,182
7931,1439
12151,2527
17176,1847
11667,1846
11667,1440
13868,1271
6727,2528
6726,1954
7675,3093
16226,2904
12150,2526
2509,2976
2564,2975
1666,2665
16323,2665
11995,2800
9476,2444
11118,1697
11693,47
9632,2989
3680,3221
3797,2749
1968,1822
6578,1185
1967,3004
7333,2678
18547,856
14086,1137
7610,2673
13311,325
8169,2899
8173,2918
24904,2429
10351,6
7418,1482
16857,1538
16767,1537
16770,1429
1723,2421
1723,2208
18765,375
16268,2359
6372,2897
22260,2668
22070,712
3091,730
19789,2072
2800,3029
12798,3088
17394,3029
1637,2110
9181,1319
3071,1540
24427,386
22737,2556
24471,253
3037,60
3037,2753
3170,2752
3170,2382
11402,2633
26923,1385
340,2922
21960,3020
11316,3135
3320,2365
13674,2496
6767,2496
2729,1936
18722,1512
19673,2496
19676,2496
3853,2496
2299,1512
23289,1512
23289,2674
18058,1512
22631,2226
14510,1745
23071,856
13698,2658
13698,1413
19593,1818
3126,1078
1521,1506
13913,1815
2836,2956
1090,841
3197,1586
3197,1701
3194,1585
3194,1701
10803,1256
10553,2755
16748,1404
7815,214
23758,987
497,214
9141,1305
692,1151
24487,422
24616,425
24615,2833
10053,2993
26990,69
14337,435
8797,2685
11953,3253
2518,1413
16432,856
15455,1485
15763,1078
17652,2561
24270,1158
24051,3210
11241,3213
24251,680
13974,1078
16558,1044
18063,1994
9614,683
2049,2138
23068,1762
13145,2105
13145,2320
15123,2798
15123,774
15123,743
11450,992
10677,2892
24238,176
105,2615
9597,2703
12357,1318
4423,2827
15067,856
22656,2472
8809,2822
23677,802
10895,3120
2732,2918
13874,343
11417,1078
27311,2934
18841,179
4365,2227
19163,179
21861,494
16119,2584
21522,54
21573,54
706,2645
2047,779
16850,3029
15829,2800
12000,2800
8871,2366
2216,1858
15258,82
2437,149
2438,151
2213,147
2436,150
13446,957
21622,2539
21795,40
2217,1505
10584,36
15265,82
2440,148
2211,1723
10581,27
2220,1858
344,1134
11151,2940
14546,2871
10087,1423
18399,2884
15967,3078
5075,152
5075,1365
12112,2178
8566,672
24229,1044
20636,2201
22622,2330
20662,993
11999,993
2993,1044
24154,1044
15778,1279
3269,2075
24531,1044
3769,3172
21730,1063
18741,1233
24722,1063
18862,1233
2743,440
16388,2146
16388,259
16574,3031
715,2887
8904,993
8919,993
5888,1809
13185,1571
16190,1571
8240,2604
19058,3098
19288,3029
8470,1408
11825,195
8415,431
13234,1198
10045,2677
10045,306
10045,1433
23393,1876
8034,2117
25314,2652
25314,2651
9633,315
9633,1526
13460,1405
454,1280
11958,1245
11958,3252
23023,1700
23023,2913
9561,1238
14840,3066
22554,2637
22555,2637
15821,2220
1249,841
1249,993
17759,1750
7619,1360
13309,1750
24261,1750
24340,1413
24340,2890
24340,261
6797,993
20219,1965
18395,1072
18583,1064
19242,2641
6661,1617
23822,3140
15729,1581
15729,1407
15582,2206
12004,993
18313,1634
21014,3005
14894,1261
14956,1260
9589,1554
5599,106
9301,1014
20749,1014
3909,2452
9487,2305
9487,1127
3914,1919
11084,2289
11084,1641
22464,2426
6699,2160
23405,2667
22274,2667
22185,968
9679,1182
11018,2531
2002,2618
690,771
6626,2618
455,69
10820,69
19692,1425
25730,189
17918,3237
19536,1413
18402,723
18927,1070
13591,1069
16802,3222
16802,3094
16144,2487
9752,554
13365,2487
7696,1677
7083,484
19589,1905
14417,435
8871,1015
3275,404
8369,1428
16622,1533
16622,2168
8374,2363
8374,1428
3661,1001
2867,481
27172,2624
2926,2403
1398,2370
20137,2583
21596,1154
24231,2007
24207,2949
14811,3206
19156,1904
17358,1184
11055,1002
11055,3082
24508,1833
24508,1669
16525,1217
8416,993
17706,1389
17706,876
11054,3082
13713,1946
8316,2768
10042,800
1497,1946
3965,1010
3965,2456
3965,817
21352,2661
21469,856
15989,146
3729,1434
399,1078
12817,1258
3728,1434
3730,1434
4801,2099
21075,1276
21075,101
8127,2415
8129,2415
17346,1869
23747,124
18111,408
18111,1744
7924,2923
8863,2680
8863,764
3462,3177
3786,649
3786,776
18997,2365
952,2818
7674,1310
9543,1924
9543,1221
6136,2850
24339,868
24339,1198
9724,1543
2628,122
1204,2754
15804,2713
24117,2689
14142,2697
15858,2916
18259,2404
24553,3015
17068,3057
18233,2404
3831,2888
16285,2371
1599,2567
18241,2404
11595,2700
12226,3090
17736,2414
13390,2411
19356,1672
20795,1535
13541,237
13541,2787
13541,95
3596,237
3596,2787
3596,95
7639,407
7639,2787
5925,237
5925,2787
5925,95
22054,1788
9696,882
9764,2140
7917,2349
12887,517
11804,3165
11803,1969
8402,3186
24142,3186
8437,3186
24274,2705
12432,3092
408,232
24584,442
24364,3163
19052,2511
9544,1423
11122,1428
18644,1651
14859,1717
9979,2698
2341,1428
1472,3034
1472,2518
14516,3034
14516,2518
4044,2257
24583,2520
24583,2428
1596,2518
19178,2518
1462,2428
23431,2955
22934,2401
1638,659
1162,3067
21416,580
21416,2535
7955,2192
11214,2650
17616,3076
677,2986
17572,1914
17876,1413
16094,2098
16128,2731
16498,2710
16500,2710
9156,1413
9156,3017
23531,2711
23531,2733
18097,1050
16496,2709
17870,1413
11108,261
11106,1413
11106,937
11106,841
16424,2708
16497,1029
16499,2708
16389,2709
17877,1413
6777,847
3440,847
13317,1794
18092,2050
7553,2089
3764,1284
16517,2050
7570,909
18093,2089
21727,1918
21727,3029
7834,2677
10061,1222
10844,509
8241,3021
7296,506
9708,1171
18473,2593
9691,1168
16118,1078
4505,2573
22164,1980
20663,2125
10902,2948
17588,1428
18602,2717
16484,2717
17518,2785
9895,3042
10901,1582
9610,3065
9952,2846
9952,1257
9952,283
23248,993
23248,2611
9808,1099
11911,2814
366,1078
14604,1078
4040,3069
8875,135
13659,3069
21043,3069
466,2022
25081,686
15026,505
15953,215
16856,2052
15722,2428
2382,137
13996,2463
15661,2560
15661,647
13201,292
2297,140
19696,1428
15758,534
11371,2631
11371,535
7676,537
10232,536
3119,2071
1684,1516
17216,1373
11755,1384
3668,2375
13918,1088
9201,1457
9229,1457
543,1987
14090,1928
8220,1927
18655,1980
7600,2516
169,2428
24333,87
4172,2428
20181,2516
24532,856
24532,309
17956,1078
17263,1204
24542,3040
897,3164
16918,3164
7106,3013
24105,1530
24368,1530
17553,2693
143,2722
9180,3050
23699,596
2577,3050
15890,2545
14367,651
27136,460
11590,1540
17328,3191
3819,1728
20305,786
24602,1998
23510,1241
19626,1161
9998,3159
9998,3207
7130,3115
15970,2942
16454,3057
20762,192
15970,3115
11229,3087
11229,2064
