level2ID,level3ID
42,252
24,78
10,115
35,216
7,61
6,164
28,192
7,56
59,325
23,205
22,160
7,57
7,46
29,194
48,284
64,90
45,269
29,193
11,198
35,214
9,112
23,203
45,271
34,225
25,171
62,27
2,20
54,229
22,153
0,1
42,242
24,74
34,212
51,295
24,77
54,308
65,340
61,347
7,50
43,264
52,32
46,275
44,266
63,276
23,169
7,63
10,118
22,152
60,331
44,267
22,157
60,332
18,228
26,186
57,317
5,102
3,23
40,234
42,258
59,328
17,140
42,249
59,326
49,289
25,177
53,302
23,168
0,2
54,307
49,287
42,246
46,274
64,91
42,257
22,154
42,260
7,48
9,125
48,285
64,87
30,195
27,188
5,105
24,82
35,218
52,36
0,3
33,209
37,151
25,173
31,197
23,166
47,280
50,293
59,329
25,170
2,21
65,338
48,145
22,159
1,15
61,349
62,355
54,306
47,282
32,207
52,42
46,272
42,261
7,65
25,179
24,72
25,175
9,113
44,268
4,30
8,95
51,299
58,321
42,240
59,322
23,200
10,121
16,137
43,265
51,300
2,18
50,291
10,116
65,344
7,47
24,71
7,55
55,313
52,34
25,181
15,133
40,235
65,341
42,254
7,52
16,138
1,9
24,80
38,230
52,40
15,135
19,142
42,262
7,53
5,101
64,89
59,324
48,146
24,70
24,69
24,84
64,92
33,210
48,286
26,184
51,296
1,13
52,39
33,222
6,163
22,156
52,33
52,44
63,279
2,16
53,304
42,250
1,12
15,131
5,106
42,245
24,85
56,314
3,22
40,233
25,180
59,327
24,68
12,123
20,7
42,259
22,155
24,67
65,337
54,311
23,202
42,238
24,73
50,292
52,38
64,88
25,178
1,11
17,139
23,167
8,97
24,76
46,273
53,303
14,128
58,320
5,103
13,111
21,149
7,64
39,232
2,17
17,141
42,241
36,221
0,0
52,41
25,174
6,28
13,108
3,24
34,208
34,224
15,130
28,191
52,43
41,237
23,204
63,277
23,199
19,143
60,336
48,147
31,196
3,26
65,343
18,226
24,75
24,79
20,5
48,283
35,213
28,190
42,248
65,342
7,62
10,119
15,134
15,136
65,345
60,335
36,220
8,94
7,54
7,49
35,215
4,29
5,98
12,122
65,339
22,162
47,281
18,227
42,243
45,270
54,305
65,346
57,319
37,150
7,59
42,251
22,161
42,255
42,247
10,117
1,8
26,187
57,318
32,206
12,124
24,81
19,144
14,129
25,176
42,239
64,86
33,211
11,107
35,66
60,334
1,14
7,58
42,263
42,256
52,35
63,278
5,104
26,183
2,19
51,298
8,96
15,132
23,201
57,316
51,301
7,51
61,348
39,231
27,189
40,236
22,158
49,290
1,10
62,352
20,6
6,31
14,127
13,109
14,126
62,354
3,25
34,223
55,312
5,99
26,185
43,148
60,333
62,353
56,315
42,253
35,219
42,244
52,37
22,165
24,83
62,350
49,288
62,351
51,294
59,323
10,120
35,217
10,114
7,60
54,310
13,110
25,172
8,93
51,297
7,45
26,182
0,4
5,100
54,309
