level3ID,modelID
246,1737
45,1603
331,580
152,1866
288,170
30,41
6,999
10,2160
262,1240
306,2317
131,1137
96,1604
273,918
307,610
210,773
201,1294
30,943
234,1235
282,443
192,798
344,89
53,1767
204,169
231,550
144,338
277,62
214,1816
140,161
10,271
342,1948
230,2205
61,2136
259,1851
90,642
137,137
159,2168
169,426
137,2144
225,2255
104,2051
76,1257
128,1593
69,631
114,4
24,2313
309,1187
183,1032
225,1166
88,589
353,574
77,944
98,373
244,863
315,1893
88,1494
128,1381
273,2127
279,1326
219,2162
81,26
308,2296
163,501
98,1431
329,265
352,2155
171,1364
170,1740
270,1590
26,1481
261,7
254,1128
43,1672
274,2268
287,1288
201,1975
205,439
67,861
126,31
256,657
91,914
163,60
306,65
21,2156
79,1679
128,2262
315,2091
98,1131
151,616
251,273
318,1189
286,1022
309,1808
1,682
26,473
331,494
22,2058
21,1119
193,1270
350,817
78,738
47,1505
154,1468
168,1093
208,639
76,1180
240,1097
318,1204
337,17
22,2055
321,1567
284,1602
147,822
251,2116
168,1439
321,558
148,479
118,2192
66,232
25,618
17,2269
35,1802
225,36
80,348
120,222
269,2242
62,2257
21,711
75,1062
126,1114
246,1843
279,912
4,2047
300,1533
208,520
21,261
267,1863
329,960
19,529
276,1738
170,1475
189,1129
77,1467
355,1084
91,1761
208,907
262,1338
240,58
11,772
299,1601
35,1445
207,841
121,737
208,477
10,354
238,72
24,548
231,218
343,802
315,803
309,804
329,282
249,1179
37,1750
75,252
306,1716
343,906
14,53
295,2235
237,402
21,1392
263,1518
198,1766
10,1986
203,268
298,697
325,1175
19,1869
287,2243
187,869
237,281
14,1954
12,1665
122,1173
148,1669
318,313
295,212
66,1061
201,1014
336,175
126,427
317,317
275,790
190,1777
355,506
98,811
254,1333
98,1456
234,345
139,1174
180,2001
171,1610
315,771
174,2217
48,2110
137,1578
265,2046
8,2291
113,883
140,1194
155,1158
249,341
219,2169
241,1009
153,1617
181,1650
122,2281
116,1450
338,835
76,1629
300,314
171,2179
275,1410
22,438
48,90
224,1641
26,1246
223,464
281,1525
123,1404
351,372
300,1054
90,164
68,1290
245,1155
228,866
323,259
70,324
217,325
87,326
207,327
293,30
133,1715
278,1312
265,442
297,2251
94,0
128,349
256,1509
352,587
236,680
248,50
81,2245
256,287
215,1830
91,723
242,1922
56,275
215,188
133,189
178,107
4,1374
134,758
48,1075
71,1977
347,1927
251,849
343,1485
315,1486
309,1487
193,959
38,1215
279,636
144,356
180,731
174,1933
92,2234
342,2147
240,783
329,1380
253,1202
26,2300
118,1376
56,2260
37,1281
153,1770
129,1605
46,950
316,542
196,1253
70,1254
217,1255
268,1321
315,1172
166,1625
220,210
0,1428
238,538
337,245
16,1284
42,399
73,695
107,299
240,982
340,1772
123,411
230,2175
29,2176
244,845
249,130
277,1848
234,126
55,219
289,51
2,816
275,2173
232,1395
264,1971
10,810
139,555
149,2170
60,1371
222,383
17,289
179,2229
22,566
137,445
310,1382
279,541
120,103
204,68
336,364
225,1836
247,868
332,1275
98,1706
138,237
240,257
200,37
138,2244
71,267
122,640
12,1122
130,2004
185,1503
36,362
287,1308
204,116
58,702
37,1015
64,1963
81,608
44,2071
226,1236
71,199
143,846
330,1297
324,858
338,571
330,1287
332,1694
268,1170
196,808
231,211
275,1184
309,93
18,641
238,1947
112,1994
147,733
60,814
233,358
90,1229
94,925
174,1095
170,2096
74,1734
265,318
82,885
174,386
297,2206
257,1800
293,1702
9,984
120,2299
153,1112
154,1809
4,192
254,1796
272,2282
19,1736
311,1806
76,172
259,1237
327,1248
213,687
169,2174
115,1004
36,1264
298,517
246,998
251,545
240,1781
107,1647
259,653
325,994
344,1937
304,952
279,2163
96,1060
236,607
32,1115
274,1350
74,2038
136,629
217,1190
40,1441
52,1805
299,775
8,1729
93,110
224,312
230,2086
99,612
230,2022
29,2023
168,1164
20,370
340,1960
1,1358
259,1695
152,52
261,1599
61,351
205,1012
216,1379
124,1429
144,1853
13,76
338,659
138,598
76,1406
122,930
348,28
207,2195
77,454
269,1560
32,375
330,266
142,1917
295,1638
229,534
27,615
119,2105
85,329
240,88
126,1031
302,1394
36,1474
46,1222
233,223
74,1825
16,1005
246,296
21,1634
146,1775
29,176
185,1657
2,609
316,2138
269,1924
230,1725
29,1726
5,1047
38,1996
260,728
28,480
274,166
296,1931
213,661
279,1939
8,1662
144,1098
230,2049
29,2050
116,633
325,1247
149,614
221,2287
138,1370
355,1619
215,1711
59,781
274,1154
4,765
221,1714
124,1589
50,535
4,1037
34,155
231,2213
309,638
199,1285
345,1383
217,1886
274,2005
217,1894
285,1953
313,1473
121,2113
232,1402
271,2075
42,1946
268,690
126,1497
274,842
298,380
162,967
302,836
107,792
98,2231
62,198
348,1516
331,2108
192,666
18,2256
194,888
249,889
294,1443
136,908
10,1414
299,476
113,1405
239,139
335,603
168,532
44,1397
119,1962
33,396
136,1639
166,1713
189,727
223,1086
333,168
286,1071
271,2204
321,424
232,980
101,315
64,1040
341,1801
76,1262
124,613
21,1077
237,55
21,395
137,620
290,100
338,1149
21,2240
67,1696
217,2088
235,493
279,144
296,465
211,1828
81,181
42,1341
26,1242
95,91
124,2029
43,1882
289,2064
134,1081
6,1147
230,2157
99,1918
207,1550
181,623
307,1941
286,1680
230,2151
29,2152
165,784
251,1637
31,1678
218,2266
269,1973
342,1902
184,2258
123,949
162,1186
352,1865
166,290
293,1938
144,1357
194,359
139,80
173,2135
249,1452
36,1349
60,158
214,896
6,1453
336,1622
68,1206
288,2111
282,1337
120,1577
275,1575
229,414
126,970
209,233
153,1140
229,1152
315,1596
225,1570
211,241
266,851
76,1874
290,209
219,2115
195,1157
206,1449
115,96
68,2271
21,2289
238,436
259,1934
117,1051
118,1196
350,1643
298,2026
277,1786
116,1444
346,1906
279,1363
302,229
102,1524
157,1466
118,748
330,2098
190,1594
21,644
30,602
133,1829
153,650
186,793
18,412
105,668
32,361
77,1317
127,61
350,185
303,1727
275,1900
271,677
129,1698
189,320
112,818
317,2081
316,33
10,1747
273,2185
339,829
129,1422
85,1135
271,174
137,1225
4,567
230,1016
29,1017
182,1972
298,1862
274,2308
148,938
54,902
213,468
103,1027
41,2265
144,1269
80,2130
306,1208
45,536
43,1113
329,1799
269,522
274,118
318,425
8,77
155,593
117,342
324,688
334,1030
174,1085
126,1765
61,1063
330,246
129,2078
167,1433
327,323
280,1600
279,961
15,1883
237,1100
287,2279
294,378
246,1161
149,2220
10,1890
164,1704
133,1530
225,279
33,681
270,707
190,581
318,2247
80,255
339,204
231,2197
99,6
267,689
336,2015
208,101
257,1845
97,700
343,179
282,649
51,84
142,1928
76,1981
300,2148
203,820
87,12
263,2254
290,1011
237,1998
23,905
115,1504
267,1273
331,489
24,1105
241,334
287,706
124,79
284,2270
218,1243
354,35
144,1579
37,330
296,1087
105,154
119,1306
119,1940
233,1126
198,1259
21,709
273,1252
14,347
265,788
214,2209
274,694
47,434
35,2180
33,1519
83,2063
258,1686
274,1837
109,387
108,1838
204,1658
316,979
279,1091
136,2318
354,499
346,446
119,1416
25,1479
160,2112
10,1521
177,1345
89,2134
271,1739
233,2177
136,32
234,22
71,1413
166,83
192,1868
174,2009
186,1887
8,547
184,360
315,870
304,1205
225,1532
341,991
80,491
210,948
277,2276
136,374
280,190
332,2230
75,2214
188,2215
76,2216
83,1401
157,336
183,782
77,382
17,1329
91,585
315,2106
215,1299
180,825
223,760
23,149
8,2267
189,495
136,1336
296,2117
68,145
123,1552
245,1557
71,679
8,1459
343,1234
14,1367
37,740
112,262
70,1347
121,685
279,316
291,1676
171,152
