modelID,activityID
1556,6744
1556,19131
1556,12867
1556,9852
1556,24978
1556,4876
1556,18871
1556,255
1556,13870
1556,9748
1556,2536
1556,25046
1556,254
1556,6989
1556,15406
1556,6756
1556,4176
1556,8054
1556,13502
1556,13984
1556,6783
1556,22739
412,12364
412,8954
412,8204
412,16045
412,681
412,10894
412,10934
412,13369
412,10920
1970,12191
1970,18770
1970,17442
1970,26265
900,18516
900,8079
900,19761
900,22634
900,13334
900,3622
900,19591
900,21156
900,19445
900,24985
900,22714
900,19572
900,23541
900,17926
925,15653
925,14928
925,23521
925,21096
925,1964
925,17976
925,862
925,865
925,23561
495,22835
495,5708
495,22836
495,11221
495,5508
495,1607
495,0
495,17504
495,25300
495,19685
495,17496
495,25301
495,16298
495,9638
495,4969
495,4136
495,16418
495,16093
495,26225
495,4559
495,3932
495,2256
495,1988
495,16387
495,50
1813,6531
1813,434
1813,14171
1813,14173
1813,25211
1813,5086
1813,23578
1813,14444
1813,4361
1813,2775
1813,18106
1813,23576
1813,23587
1813,4563
1813,3173
1813,4840
1813,14486
713,58
713,17064
713,164
713,22022
713,11173
713,23718
713,22486
713,15144
713,19108
713,17058
713,5280
713,19222
1576,9008
1576,20229
1576,15996
1576,18102
1576,22666
1576,24651
1576,10439
1576,16610
1576,20242
1576,8278
1576,6458
1576,19750
1576,10180
1576,8459
1576,20007
1576,20328
1576,20540
1576,8405
1576,15331
1576,15490
1576,20544
1923,24317
1923,7431
1923,574
1923,17034
1923,20121
1923,24832
1923,16696
1923,5559
1923,27260
1923,10887
1923,15427
1923,9680
1923,26665
1923,334
1923,25129
1923,17302
1923,15428
1923,11619
1923,1822
1923,22348
1923,7372
1923,8930
1923,16292
1923,22915
1923,6810
1923,11879
1923,4937
1923,549
1923,5609
1898,9853
1898,7934
1898,5672
1898,12739
1898,12494
1898,25135
1898,12181
1898,1906
1898,9983
1898,20162
1898,6635
1898,26942
1898,24024
1898,9020
1898,10408
1898,6293
1898,6824
2210,5874
2210,7031
2210,7082
2210,23680
2210,1579
2210,1752
2210,19915
2210,7693
2210,16034
2210,19914
2210,1786
2210,23154
2210,24740
2210,7057
2210,1765
2210,11092
2210,24711
2210,807
2210,1232
2210,25452
2210,20444
2210,7465
2210,13992
2210,24287
2210,6844
2210,7383
2210,22782
2210,23105
2210,1862
2210,1415
2210,11223
2210,12471
2210,1748
2210,2130
2210,13135
2210,61
2210,13711
2210,11096
2210,23154
2210,23672
2210,15615
2210,7210
2210,14848
2210,15106
1099,3286
1099,25208
1099,24761
1099,4090
1099,2083
1099,23360
1099,23218
1099,1426
1099,536
1099,27119
1099,830
1099,23990
1055,15206
1055,12417
1055,12773
1055,10346
1055,14568
1055,11231
1055,11228
1055,11232
1055,12774
1055,7833
1055,13082
1055,11807
1055,12599
1055,21112
1055,7833
1055,13081
1055,21112
1055,8997
1055,2879
1055,7680
1055,7705
1055,8112
1055,23583
1055,5629
1055,15206
1055,3688
1055,17091
1055,26847
1055,22103
1055,3689
1055,17099
1055,8965
1055,8996
787,17275
787,20873
787,20879
787,11530
787,9435
787,13484
787,3321
787,14621
787,7129
787,11959
787,7721
787,10500
787,20874
787,19024
1477,11384
1477,22013
1477,15314
1477,9983
1477,23366
1477,12916
1477,27280
1477,24746
1477,24453
1477,17351
