level1GUID,level1,level1ID
9e2f8192-619e-11e7-2249-001dd8b721ea,Finance Management,3
92d7d421-619c-11e7-2249-001dd8b721ea,Credit Management,2
5e142361-619c-11e7-2249-001dd8b721ea,Management of Transactional Products and Services,6
e31fa0b1-619d-11e7-2249-001dd8b721ea,Risk Management and Controls,8
7e5f3291-619c-11e7-2249-001dd8b721ea,Financial Information and Regulatory Reporting,4
f156a7b1-619c-11e7-2249-001dd8b721ea,ICT Management and Information Security,5
a7b40791-619e-11e7-2249-001dd8b721ea,Bank Insurance Management,0
e63efe92-619c-11e7-2249-001dd8b721ea,Business Development and Relationship Management,1
ad88cc00-619e-11e7-2249-001dd8b721ea,Resources management,7
da57db01-619d-11e7-2249-001dd8b721ea,"Strategies, Planning and Management Control",9
