activityType,activityCategory,activity,activityID
process activity,Professional,Collect/Place orders,6744
process activity,Professional,Receive the final auction results,19131
process activity,Professional,Impute definitive bids,12867
process activity,Professional,Enter the data in the position keeping system,9852
control activity,Other,Verify and validate the entered data,24978
control activity,Other,Check resetting of the EOD folder,4876
process activity,Professional,Receive notification of government bonds subject to AUCTION,18871
process activity,Professional,Access the bidding procedure,255
process activity,Professional,Make bids,13870
process activity,Professional,Enter test bid,9748
process activity,Professional,Calculate hedge amount,2536
control activity,Other,Verify compliance with Hedges,25046
process activity,Professional,Access the auction management system,254
process activity,Professional,Communicate switch and swap level updates to the market,6989
process activity,Professional,Notify the Syndicate desk of switch and swap level updates,15406
process activity,Professional,Communicate Final Spread,6756
control activity,Professional,Check and validate the data entered in the position keeping,4176
process activity,Professional,Consolidate size and definitive spread with the MEF,8054
process activity,Professional,Issue the purchase and sale ticket,13502
process activity,Professional,Make the call for the definition of the pricing,13984
process activity,Professional,Communicate allocations and request confirmation from investors from Sales,6783
process activity,Professional,Start initial price talk,22739
process activity,Operational,Identify one or more reference branches and provide a specific communication format,12364
process activity,Professional,Deliver the documentation to the manufacturer,8954
process activity,Commercial,Contact the payer and assess their financial needs,8204
process activity,Commercial,Personalize the conditions and deliver the commercial offer to the Customer,16045
process activity,Professional,Acquire the specific authorization of the client,681
process activity,Operational,Execute privacy obligations (prospect customer),10894
process activity,Commercial,Explain to the builder the take-off service and prepare the construction site sheet,10934
process activity,Commercial,Interview the customer and expose the recommended offer,13369
process activity,Operational,Explain the characteristics of the transaction and comply with the provisions on transparency,10920
process activity,Professional,Have the guarantor sign the deed of pledge,12191
process activity,Operational,Receive feedback from the SGR and prepare the documentation for completion,18770
process activity,Professional,Proceed with the required communications to the SGR,17442
control activity,Other,Verify the correct communication to the SGR,26265
process activity,Professional,Receive and examine the deed,18516
process activity,Operational,Consolidate the statement,8079
process activity,Professional,Report any exceptions/additions to what was automatically detected by the system,19761
process activity,Operational,Sign the paperwork pursuant to art. 73,22634
process activity,Operational,Integrate the data useful for the non-automatic declaration,13334
process activity,Professional,Carry out the necessary actions for custody signaled by the system,3622
process activity,Professional,Register the paper document,19591
process activity,Professional,See the statement,21156
process activity,Professional,Record the essential data of the attachment in the procedure,19445
control activity,Operational,Verify and/or complete the application,24985
process activity,Operational,Start and monitor the processing of the deed received by PEC,22714
process activity,Operational,Register the deed in procedure,19572
control activity,Operational,Supervise the processing of documents,23541
process activity,Professional,Provide feedback to the Authority,17926
process activity,Operational,Oversee operational compliance with regard to waste from office equipment,15653
process activity,Operational,Monitor communication (MUD) regarding all hazardous waste disposed of,14928
process activity,Operational,Supervise the correct temporary storage of waste,23521
process activity,Operational,Sample and archive the documentation certifying the conferment of waste,21096
process activity,Operational,Arrange for the collection of unused office equipment and its possible disposal,1964
process activity,Operational,Provide for the collection of unused equipment and eventual disposal,17976
process activity,Operational,Activate the competent Office for the replacement/disposal of the equipment,862
process activity,Operational,Activate the competent office for the replacement/disposal of computer equipment,865
process activity,Operational,Supervise the work of the companies that provide nursing services,23561
process activity,Operational,Start the diagnostic,22835
control activity,Other,Check the diagnostic results,5708
process activity,Operational,Start the diagnostic report of the Budget application,22836
process activity,Operational,Fill in and validate the checklist,11221
control activity,Other,Check the correctness and completeness of the compilation,5508
process activity,Professional,Analyze the responses and prepare a Summary Note,1607
control activity,Other,    Check the completeness of the answers received,0
process activity,Professional,Process the balance sheet,17504
control activity,Other,Verify correspondence of accounting balances with balance sheet results,25300
process activity,Operational,Release the tables/contributions of the Explanatory Notes,19685
process activity,Operational,Process the Income Statement,17496
control activity,Other,Verify correspondence of the accounting balances with the Budget application,25301
process activity,Operational,Prepare and send the checklist,16298
process activity,Professional,Enter any additions (including movements where required) in the Financial Statements application,9638
control activity,Other,Check that the data has been loaded correctly,4969
control activity,Other,Check aggregated data in summary files,4136
process activity,Operational,Prepare detailed note,16418
process activity,Operational,Populate the Budget application,16093
control activity,Other,Verify the correct application of the Group Accounting Rules,26225
control activity,Other,Check for rejects,4559
process activity,Operational,Certify phases,3932
control activity,Other,Attest the certification of the phases,2256
process activity,Operational,Arrange the supply flow of intercompany balance sheets,1988
process activity,Professional,"Prepare comments (part A,B,C,D,F,G,I,L,M attachments and accounting schedules)",16387
control activity,Other, Check the completeness and accuracy of the NI Financial Statement tables / disclosures,50
process activity,Professional,Close the position,6531
process activity,Professional,Acknowledge the sale resolution,434
process activity,Operational,Manage administrative obligations related to binding purchase offers,14171
process activity,Operational,Manage administrative tasks for the sale,14173
control activity,Operational,Verify correct implementation on the management system,25211
control activity,Other,Check the accounting of capital gains or losses,5086
process activity,Operational,Support pre-sale activities,23578
process activity,Professional,Manage proposal for sale resolution,14444
control activity,Professional,Check documentation completeness,4361
process activity,Operational,Carry out a personal census,2775
process activity,Operational,Provide support for subject inquiries,18106
process activity,Operational,Support marketing activities,23576
process activity,Operational,Support the delivery of the property,23587
process activity,Professional,Check for residual credit and implement recovery actions,4563
process activity,Professional,Carry out preliminary evaluation,3173
control activity,Professional,Check proposal data for large amounts,4840
process activity,Operational,Manage security deposit,14486
process activity,Operational, Communicate closure of business,58
process activity,Operational,Prepare/update the Document supporting the report,17064
process activity,Operational, Submit the Document and the Attestation Letter to the signature of the Asset Safeguarding Obligations Manager,164
process activity,Operational,Send the documentation to the Auditors,22022
process activity,Operational,File the documents sent and received,11173
process activity,Operational,Take action to start preparing/updating the Document supporting the Report,23718
process activity,Operational,Share the Document with auditors,22486
process activity,Operational,Monitor the progress and conclusion of the planned interventions to mitigate the identified risks,15144
process activity,Operational,Receive the document containing the actions to be implemented to mitigate the risks identified by the Auditors,19108
process activity,Operational,"Prepare, if necessary, the definitive version of the Document",17058
control activity,Other,Check the completeness of the Document,5280
process activity,Operational,Receive the report prepared by the Auditors and confirmation of forwarding to the Bank of Italy,19222
process activity,Professional,Deploy software packages on the Golden Image,9008
process activity,Professional,Request creation/opening in Golden Image update,20229
process activity,Professional,Perform the retirement of a POUN/Golden Image Pool,15996
process activity,Professional,Provide software to install,18102
process activity,Professional,Solve the anomaly with the possible support of second-level structures,22666
process activity,Professional,Validate any new products,24651
process activity,Professional,Evaluate the disposal of a POUN/Golden image pool,10439
process activity,Professional,Prepare scripts for use in the installation,16610
process activity,Professional,Request definition/update of a POUN,20242
process activity,Professional,Coordinate product version/new product upgrade impact analysis,8278
process activity,Professional,Close Golden Image and set the POOL(s) of POUN,6458
process activity,Professional,Report anomaly on the POUN,19750
process activity,Professional,Evaluate and approve the request,10180
process activity,Professional,Create/open in update Golden Image,8459
process activity,Professional,Request Software Product Installation,20007
process activity,Operational,Request new specific POOL enabling code,20328
process activity,Professional,Request the deletion of the enabling code Dedicated POUN pool,20540
process activity,Professional,Create laboratory POUNs,8405
process activity,Professional,Notify completion of new POUN/POUN update,15331
process activity,Professional,Notify the user of the POUN decommissioning,15490
process activity,Professional,Request the divestment of a POUN/Golden Image Pool,20544
process activity,Operational,Update the definitive amortization plan and check its consistency.,24317
process activity,Operational,Communicate the stipulation made to the reference Structure,7431
process activity,Operational,Acquire the Beneficiary Use Request for the RECONSTRUCTION CEILING FINANCING / DISASTER EVENTS,574
process activity,Operational,Prepare the summary of Beneficiary Use Requests,17034
process activity,Professional,Request and verify the provision for the RECONSTRUCTION CEILING FINANCING / DISASTER EVENTS,20121
control activity,Other,Verify Beneficiary Use Request,24832
process activity,Operational,Prepare the accounts for the delivery and deliver the DDS to the customer,16696
control activity,Other,Check the correctness of the documentation,5559
process activity,Professional,Verify the sum made available to the customer and disburse or give instructions for disbursement,27260
process activity,Operational,Execute or arrange for the execution of the customer's payment instructions,10887
process activity,Professional,Notify the competent structure of requests for beneficiary use for the RECONSTRUCTION CEILING LOANS / DISASTER EVENTS,15427
process activity,Operational,Enter data into the system,9680
control activity,Other,Verify the correctness of the data entered in the system,26665
process activity,Operational,Account for payment advice received,334
process activity,Professional,Verify consistency of supply,25129
process activity,Operational,Proceed to process the usage requests received,17302
process activity,Operational,Notify the competent structure of the successful disbursement of Reconstruction and Calamitous Events Beneficiary Loans,15428
process activity,Professional,Formalize the resolution in the CMLT procedure,11619
process activity,Operational,Archive documentation,1822
process activity,Operational,Send the summary of the requests for beneficiary use to the competent structure,22348
process activity,Operational,Communicate the rate of individual disbursements to the branches,7372
process activity,Commercial,Deliver the amortization schedule to the customer,8930
process activity,Operational,Prepare and send the Supplementary Loan Contract Proposal,16292
process activity,Commercial,Stipulate the Beneficiary Loan agreement,22915
process activity,Operational,Communicate any non-acceptance by CDP,6810
process activity,Professional,Gather and input information to determine Global Effective Rate,11879
control activity,Other,Check that the TEG has been checked,4937
process activity,Operational,Acquire interest rate information for each disbursement and communicate it to the reference structures,549
process activity,Professional,Check the correspondence of the beneficiary loans with the loan disbursed by CDP for the Reconstruction Plafond and Calamitous Events Beneficiary Loans,5609
process activity,Operational,Enter the data in the procedure,9853
process activity,Commercial,Confirm the order in the system,7934
control activity,Commercial,Check the data proposed by the procedure,5672
process activity,Commercial,"If necessary, negotiate the conditions of the operation",12739
process activity,Commercial,Identify the customer,12494
control activity,Commercial,Verify contractual fulfillment,25135
process activity,Commercial,Have the device kit signed and delivered to the customer,12181
process activity,Commercial,Archive the documentation relating to the operations performed,1906
process activity,Commercial,Enter the operation in the system,9983
process activity,Commercial,Request authorization for non-autonomous operations,20162
process activity,Commercial,Collect prior authorization,6635
process activity,Commercial,Verify the existence of the Position (deposit) Repurchase Agreement,26942
process activity,Commercial,Transmit the request for a particular operation to the Central Structure,24024
process activity,Commercial,Describe the characteristics of the financial instrument,9020
process activity,Commercial,Evaluate the conditions in derogation from the limits of autonomy of the branch,10408
process activity,Commercial,Check the type of offer,6293
process activity,Commercial,Communicate authorization result,6824
process activity,Professional,Check the list of strategies,5874
process activity,Professional,Communicate the activation of the strategy,7031
process activity,Professional,Communicate the census of the new trading algorithm,7082
process activity,Professional,Survey the trading algorithm,23680
process activity,Professional,Analyze the report received and evaluate any changes,1579
process activity,Professional,Approve the changes made to the Repository and communicate the update,1752
process activity,Professional,Report the need to implement a new strategy or to make a change to an existing strategy,19915
process activity,Professional,Complete the “Algorithmic Trading Strategy Change Nature Assessment Checklist”,7693
process activity,Professional,Periodically review the list of strategies in the Repository,16034
process activity,Professional,Report the need to implement a new strategy or make a change to it,19914
process activity,Professional,Approve the upload of the Algo Trading Repository,1786
process activity,Professional,Submit relevant information,23154
process activity,Professional,Validate the new strategy,24740
process activity,Professional,Communicate the approval of material changes to an existing strategy,7057
process activity,Professional,Approve the information update,1765
process activity,Professional,Feed repository Algorithmic negotiation,11092
process activity,Professional,Validate the changes made,24711
process activity,Professional,Activate the CNP,807
process activity,Operational,Analyze and resolve the reported anomaly,1232
process activity,Professional,Verify on-site the consistency between what was agreed in the CNP and what is present on the systems,25452
process activity,Professional,Request the activation of a New Products Committee,20444
process activity,Operational,Communicate the update of the Algorithmic Trading Repository,7465
process activity,Professional,Make the changes to the Repository,13992
process activity,Professional,Update the algorithm information in the Repository,24287
process activity,Professional,Communicate changes to control functions,6844
process activity,Professional,Communicate the registered changes,7383
process activity,Professional,Start the CNP for strategies to reactivate or deactivate obsolete strategies,22782
process activity,Professional,Submit information about the changes you made,23105
process activity,Professional,Archive supporting documentation,1862
process activity,Professional,Analyze the characteristics of the change,1415
process activity,Professional,"Fill in the ""Check List"" to evaluate the nature of the change to the trading algorithm",11223
process activity,Professional,Identify the changes to be made or the strategies to be discarded,12471
process activity,Professional,Approve the census,1748
process activity,Professional,Assess whether the change is relevant or irrelevant,2130
process activity,Professional,Initiate review and evaluation activities,13135
process activity,Professional, Communicate the new loaded strategy,61
process activity,Operational,Load the shortcode,13711
process activity,Professional,Feed the Algorithmic Negotiation Repository,11096
process activity,Operational,Submit relevant information,23154
process activity,Professional,Survey the short-code on the trading markets envisaged for the Algorithm,23672
process activity,Professional,Organize a joint table with the impacted structures to identify a change as relevant or not relevant,15615
process activity,Professional,Communicate the identification of a significant or non-material change,7210
process activity,Professional,"Modify the Algorithmic Trading Repository and, if necessary, provide information on further changes",14848
process activity,Professional,Monitor the functioning of algorithmic trading strategies,15106
process activity,Professional,Carry out the Price sensitivity assessment,3286
control activity,Other,Verify correct identification of the type of List,25208
process activity,Professional,Validate the registration in the List and send notice of successful registration,24761
control activity,Other,Check List,4090
process activity,Professional,Ask the Department responsible for the transaction to send or complete the Price Sensitivity Verification Form,2083
process activity,Professional,Submit the list of price sensitive practices together with the Price Sensitivity Verification Forms and update the Lists with any new parties accessing the information,23360
process activity,Professional,Submit the Price Sensitivity verification form of the file,23218
process activity,Professional,Analyze the content of the Price Sensitivity Verification Form,1426
process activity,Professional,Acquire from the proposing structures the information relating to the practices to be submitted to the bodies,536
control activity,Other,Verify the presence and correctness of the Price Sensitivity Form,27119
process activity,Professional,Activate the Price sensitivity evaluation,830
process activity,Professional,Transmit the evaluation on Price sensitivity,23990
process activity,Commercial,Monitor the status of the submitted proposal,15206
process activity,Professional,Identify the Customer / Legal representative of the Company / Subject with parental responsibility,12417
process activity,Commercial,Illustrate the characteristics of the products and carry out the social security check-up,12773
process activity,Commercial,Evaluate the Company's interest in signing an agreement for the collective participation in the supplementary pension scheme of its employees,10346
process activity,Commercial,Manage the documentation in dematerialized format and submit it to the customer's signature,14568
process activity,Commercial,"Fill in the Covip questionnaire (excluding minors), Privacy and additional information",11231
process activity,Commercial,"Fill in the COVIP questionnaire (excluding minors), Privacy and additional information",11228
process activity,Commercial,"Fill in the Covip questionnaire (excluding minors), Privacy, Beneficiaries and other information",11232
process activity,Commercial,"Illustrate the characteristics of the products, carry out the social security check-up and select the offer method",12774
process activity,Commercial,Confirm or modify the Life Cycle choice,7833
process activity,Commercial,Inform the customer of the methods for forwarding the pertinent documentation,13082
process activity,Commercial,Fulfill FATCA-IGA-CRS-QIA compliance,11807
process activity,Commercial,Identify the reference Retail Branch,12599
process activity,Commercial,Save the proposal and send it to the customer together with the pre-contractual documentation,21112
process activity,Operational,Confirm or modify the Life Cycle choice,7833
