actorType,actor,actorID
Organizational unit,Finance & Investments Department - IMI CIB Division,951
Organizational unit,Market Hub,1550
Organizational unit,Treasury Portfolio,2298
Organizational unit,Global Markets Sales,1055
Organizational unit,Client Solutions & Syndication,378
Organizational unit,Debt Syndication,726
Organizational unit,Rate Trading,1919
Organizational unit,Government Bond Trading,1087
Position,Third Sector Branch Manager,2261
Position,Private Manager - Retail Branch,1839
Position,Exclusive Branch Manager,864
Position,Commercial Coordinator,387
Position,Private Manager - Exclusive Branch,1838
Position,Retail Branch Manager,2031
Position,Retail Business Manager,2032
Position,Third Sector Manager,2264
Position,Third Sector Commercial Coordinator,2263
Position,Retail Commercial Director,2033
Position,Business Officer,236
Position,Business Branch Manager,225
Position,Agribusiness Branch Manager,59
Position,Business Coordinator,229
Position,Top Value Business Manager,2269
Position,Business Manager,234
Position,Agribusiness employee,63
Position,Agribusiness manager,64
Position,Assistant Relationship Manager - Global Banking & Sovereign Institutions Department,121
Position,CLB assistant,277
Position,ISPB - Assistant,1261
Position,Assistant Relationship Manager - Global Corporate Management,122
Position,Agribusiness Coordinator,61
Position,Relationship Manager - Global Banking & Sovereign Institutions Department,1981
Position,Relationship Manager - Global Corporate Department,1982
Position,CLB Market Manager,276
Position,ISPB - Private Banker,1269
Position,CLB manager,278
Position,ISPB - Private Branch Manager,1271
Organizational unit,"Processing, Control & Reporting",1858
Position,Report Coordinator,1996
Position,ISPB - Private Banker Executive,1270
Position,Entity manager,836
Position,Base manager,179
Organizational unit,Third Sector Centralized Branch,2262
Position,Director of Agribusiness Area,777
Organizational unit,Loan Claims,1469
Organizational unit,Claims for Banking Services and Investment Services,370
Organizational unit,Italy Transactional,1418
Organizational unit,Fideuram Intesa Sanpaolo Private Banking - ISPB Legal Affairs,931
Organizational unit,Customer Care and Financial Institutions Branch,656
Organizational unit,Management of Complaints and Governance of Complaints Compliance,1526
Position,Third Sector Officer,2265
Organizational unit,Bank checks,168
Organizational unit,Foreclosures,993
Organizational unit,Labor law,1431
Organizational unit,"Health and Safety, Environment and Energy Management Systems",1197
Organizational unit,Workspace and Endpoint Service Execution,2337
Organizational unit,Poli Immobiliare,1802
Position,Area Manager - Global Corporate Management,105
Organizational unit,Facility Management,910
Organizational unit,Personnel Services,1780
Person,Appointed Company,96
Organizational unit,Finance Banking Book,954
Organizational unit,Foreign branches,1012
Organizational unit,Credits and Balance sheet,647
Organizational unit,Finance Trading Book,958
Organizational unit,Parent Company Financial Statements,1735
Organizational unit,Presidium for Valuation of Assets and Liabilities,1815
Organizational unit,Financial Statements and Parent Company Supervision,978
Organizational unit,Group Accounting and Supervisory Regulations,1092
Organizational unit,People Management & HR Transformation Head Office Department,1759
Organizational unit,Central Real Estate and Logistics Department,335
Organizational unit,Operational and Financial Governance Department - IMI CIB Division,1655
Organizational unit,Central Credit Risk Management Department,315
Organizational unit,Central Management Planning and Control Department,328
Organizational unit,"Central Directorate of Art, Culture and Historical Heritage",319
Organizational unit,Credit Governance Central Directorate,603
Organizational unit,Cybersecurity and Business Continuity Management Central Department,675
Organizational unit,Group Treasury and Finance Head Office Department,1114
Organizational unit,Enterprise Risk Management Central Department,833
Organizational unit,Credit Value Control Central Department,636
Organizational unit,Central Operations Management,332
Organizational unit,IMI CIB Risk Management Central Department,1232
Organizational unit,M&A Central Management and Group Equity Investments,1498
Organizational unit,Market and Financial Risk Management Central Department,1559
Organizational unit,Cost Management Central Department,579
Organizational unit,Central Legal and Litigation Department - Group General Counsel,325
Organizational unit,Central Directorate for Development and Learning Policies,316
Organizational unit,Labor Costs and COO Governance Area Support,1429
Organizational unit,Information Systems Central Management,1300
Organizational unit,Central Directorate for Trade Union Affairs and Labor Policies,318
Organizational unit,NPE Central Directorate,1594
Organizational unit,Banca dei Territori Division - Controls and Business Support Department,154
Organizational unit,Accounting regulations,29
Organizational unit,Reporting - DC Administration and Tax,2001
Organizational unit,Administrative Projects and Developments,45
Organizational unit,Active and Passive Cycle,37
Organizational unit,Statistical surveillance,2129
Organizational unit,Prudential Supervision,1894
Organizational unit,Remuneration Policies - DC Development and Learning Policies,1991
Organizational unit,Consolidated financial statements,488
Organizational unit,Tax,2219
Organizational unit,Direct management of bad loans,775
Organizational unit,Recovery Management and Outsourcing REOCO & Leasing,1955
Person,Servicers,2102
