application,applicationID
Outlook,1325
Bloomberg,272
BBS - Bund Bidding System,202
TODEAL COLTIT Access Client to Aste Bankit,1725
Murex,1195
Reuters,1514
Consulting ABC 1,427
PEC Certified Electronic Mail,1345
Web Complaints,1851
GESPI Foreclosure Management,787
HU00 Main menu Introduction,882
WEB APP RPA - Robotic Process Automation,1820
LEGIN LEGAL INVENTORY,1052
Tagetik Consolidated Financial Statements,1744
CLASS,331
SCI New General Ledger Accounting,1603
MOCRED,1122
155093 SAP R/3 Accounts Payable,53
PARTY Participation management,1336
LIBRA,1057
SIRE,1615
NSIL - Leasing Information System,1271
EPC Leasing,626
Excel,677
ARCHIBUS Real Estate Management,140
NAG Registry of Group Counterparties,1229
Related Parties Associated Persons IAS 24 - TRANSACTIONS,1493
Checking names Black List Checker,402
Microsoft Teams,1186
Help4U - Goods and Services,888
Help4U - Assistance,887
The FOX,1758
Condor +,423
Documentum,581
MR00 Medium and long-term loans,1154
FINER Loans disbursement,703
BONIF Unique interface for entering a single bank transfer,231
ABC00 Management of Authorization Events,119
Abroad,154
EasyDocWeb,665
A000 Order Management Introduction,100
150654 - R4M0-Classification - Queries and Variations,26
SIGNATURES - View signature,1613
A000 Administered Deposit Management Introduction,68
Algorithmic strategy repository,175
Real Time Collateral,1484
ASNA Pension Funds and PIP,149
FATCA CRS Engine,693
GIANOS 3D Completion of this adequate verification of physical and legal person,797
Group Ratings,872
Early Warning System of Corp.Sov.e Finv.inst. Group,662
Overall Risk Position,1327
PEF5 Corporate Credit Portal,1349
For Funding,749
Basel 2 Regulatory Segmentation,268
Digital Smart Loading,565
ONE Concession of Credit,1304
ONE Concession of OTS Credit,1305
Query Builder,1440
SCI New General Accounting Common functions,1597
EBAAS LIFE insurance front end,607
Web workflows,1857
word,1927
Microsoft SQL Server,1185
GP - Expert Report Management Portal,830
Asset Dialogue,188
Bad debt management,260
Access,157
ALFA Application Processing Subsidized Loans,127
Problem Credit Management Application main functions,1422
LGD-EAD Departmental diagnostician,1054
Integrated Accounting System,985
MR00 MI14 Function 1 Management of concession resolution,1153
CRMS HF Preprocessors Daily system integration Credit Risk,376
Data Governance Portal Outcome Monitoring,550
RRM Report Risk Management,1476
Help4U - Incident Management,889
GARC Active Credit Risk Management,758
Registry - Group registry,1492
CRED0-Country Risk Monitoring,370
Hermione - SISBA Statistical Banking Information System,892
Risk Watch,1523
Problem Credit Management,1421
Credit portal Loans to private individuals,466
CMLT Renegotiation of WEB Mortgages,342
External Database Portal Inquiry BDE,683
PGA Active Guarantee Procedure,1352
151412 CMLT MINF.,37
DTCER Certain Date WEB,531
GK00 Guarantees received Introduction,821
155115 e-Catalogue Mortgages,58
CMLT - Anti-wear adjustments to data collection instructions for TEG calculation,337
BJIS Collections at the counter Introduction,219
Credit Management Proactive Manager,444
PRICE Authorization of opinion and proposed derogation resolution,1377
External Management Credit Management Portal,687
Internal Management Credit Management Portal,990
#People portal,0
Program for uploading contracts assignment,1423
EPC Management - Legal Portal,627
ABS Assets Systems Archive,122
MOPLE Suffering,1140
OCS After Sales,1299
GIANOS 3D Due Diligence Questionnaire,799
TDACC BRGES Constrained Time Deposit Management,1712
GESPO Management of Signature Powers,788
Management of Limits and Delegates,1165
Front Web Fatca Crs - Network Functions,755
PRICE Management of waiver proposal on report,1381
Bank of Italy Central Credit Register,265
153132 - 3270 emulator,42
Eximbills,682
BOX Back Office central operations,234
150887 - CORRESPONDENT BANKING CoBa application,35
Foreign WEB,752
Remember Reconciliation,1498
ALGO Collateral v 5.2,130
SSL,1645
resource,1925
TOP - SECURITIES DEPOSITOR HANDLING,1726
Calypso,384
ANAGE,134
Nemo,1284
AcadiaSoft - Initial Margin Exposure Manager,156
Single Document Archive,1669
CMLT Credits to MLT,339
151430 - CMLT Procedure - Information,38
Documentum - Document Storage Rating,582
PGF Loan Management Procedure,1354
GK00-Guarantees,825
Credit Portal - Micro Business,446
Credit Portal - Small Business CORE,448
Covenant management and monitoring,438
PEF5 credit portal Covenant management,1350
GIC Credit loan management Company branch products,807
E-CAM Premise,587
SAP R3 Assets,1560
B3PRO Basel 3,199
Space,1686
SAS Enterprise Guide,1587
SMARTREG Diagnostics of supervisory messages,1630
INFOSTAT,945
Iron DQ,996
