controlCategory,controlType,controLPeriodocityEnglish,control,controlID
Other,Manual,Per event,Verify and validate the entered data,2270
Other,Missing,Missing,Check resetting of the EOD folder,740
Other,Missing,Per event,Verify compliance with Hedges,2319
Professional,Manual,Per event,Check and validate the data entered in the position keeping,335
Other,Manual,Per event,Verify the correct communication to the SGR,3279
Operational,Missing,Missing,Verify and/or complete the application,2273
Operational,Semi-automatic,Per event,Supervise the processing of documents,2114
Other,Semi-automatic,Quarterly,Check the diagnostic results,1388
Other,Manual,Half yearly,Check the correctness and completeness of the compilation,1221
Other,Manual,Half yearly,    Check the completeness of the answers received,0
Other,Manual,Quarterly,Verify correspondence of accounting balances with balance sheet results,2549
Other,Manual,Quarterly,Verify correspondence of the accounting balances with the Budget application,2550
Other,Manual,Quarterly,Check that the data has been loaded correctly,804
Other,Manual,Quarterly,Check aggregated data in summary files,313
Other,Manual,Half yearly,Verify the correct application of the Group Accounting Rules,3241
Other,Semi-automatic,Quarterly,Check for rejects,595
Other,Manual,Quarterly,Attest the certification of the phases,95
Other,Manual,Annualy, Check the completeness and accuracy of the NI Financial Statement tables / disclosures,15
Operational,Manual,Per event,Verify correct implementation on the management system,2467
Other,Manual,Quarterly,Check the accounting of capital gains or losses,892
Professional,Manual,Per event,Check documentation completeness,463
Professional,Manual,Per event,Check proposal data for large amounts,724
Other,Missing,Missing,Check the completeness of the Document,1020
Other,Manual,Per event,Verify Beneficiary Use Request,2190
Other,Manual,Per event,Check the correctness of the documentation,1271
Other,Manual,Per event,Verify the correctness of the data entered in the system,3665
Other,Manual,Per event,Check that the TEG has been checked,775
Commercial,Missing,Per event,Check the data proposed by the procedure,1367
Commercial,Manual,Per event,Verify contractual fulfillment,2386
Other,Missing,Missing,Verify correct identification of the type of List,2464
Other,Missing,Missing,Check List,285
Other,Missing,Missing,Verify the presence and correctness of the Price Sensitivity Form,3967
Other,Manual,Per event,Verify the updating of the data in the system in case of uncompleted operations,4036
Other,Manual,Per event,Check the data entered in the system,1354
Other,Manual,Per event,Verify the correct and complete compilation of the form,3210
Other,Manual,Quarterly,Verify correct accounting entry of journal entries,2392
Other,Manual,Monthly,Check the report,1593
Other,Semi-automatic,Quarterly,Check the first note entered,1448
Other,Semi-automatic,Quarterly,Check accounting ledgers,308
Other,Semi-automatic,Monthly,Verify the correct execution of the pre-processing,3373
Other,Semi-automatic,Weekly,Verify the correct execution of the pre-processing,3373
