level3,level3ID
Own Account Finance - Securities,252
Concession - Private - Acceptance and Release Mortgage co-obligor,78
Credit Risk Mitigation - Attached Guarantees,115
Mandatory Fulfillments - Foreclosures,216
Compliance Management - Regulatory management Environmental protection,61
Financial Statements and Pillar III - Corporate Financial Statements,164
Leasing - Real Estate Leasing Asset Management,192
Compliance Management - Regulatory Management Markets in Financial Instruments Directive (MiFID II),56
Service Transition - FM Design and Development,325
Loans - Subsidized loans following natural disasters,205
Financial Products and Services - Repurchase Agreements,160
Compliance Management - Regulatory Management Markets in Financial Instruments Directive (MiFID II) - Algorithmic Trading,57
Compliance Management - Internal Dealing Regulatory Management - Proprietary Insider List,46
Life branch - Pension funds,194
"Product Development, Services and Commercial Agreements - Crowdfunding",284
Corporate Finance - ONE Syndication,90
Physical Security - Access,269
"Life Class - Insurance Investment Products - Class I, Class III, Class V and Multi-class Life policies",193
Loan Assignment - Assignment of Impaired Loans and Portfolios of Impaired and Mixed Loans,198
Mandatory Fulfillments - Customer Auditors and other Certifications,214
Credit Risk - Calculation of Regulatory and Management Measures,112
Loans - Management of mortgages and amortization loans,203
Physical Security - Prevention,271
Non-Performing Loan Management - Probable Default Management,225
Human Resources - Employee Personnel Management,171
Assessments for Financial Statements - Credit Assessment,27
Accounts and Deposits - Management of current account liquidity,20
Notifications - Bank of Italy Central Credit Register,229
Financial Products and Services - Bonds and Certificates,153
Abroad - Export documentary credits,1
Own Account Finance - Collateral Management,242
Concession - Individuals - Personal Loans and Installment Credit Line - Retail Lending Open,74
Management of non-performing credit - management of bad debts leasing,212
Rating - Attribution and Rating Management - Corporate Regulatory Segment,295
Concession - Loans to companies in the progress of the works,77
Reports - Prudential Reports (COREP),308
Taxation - Credit taxation,340
Third Party Finance - Regulated Derivatives,347
Compliance Management - Management of the Embargo regulatory framework,50
Passive Domestic Guarantees and International Guarantees - International guarantees issued,264
Collections and Payments - ADUE SDD,32
Planning and Management Control - Management Control,275
Payment Cards - Debit and Service Cards,266
Portfolio - Advance on Foreign Invoices - Financial Financing - Easy Export,276
Funding - Contribution Management,169
Compliance Management - Regulatory management Transactions with related parties - Associated parties and Obligations of bank representatives,63
Credit Risk Mitigation - Guarantees of funds,118
Financial Products and Services - Administered Deposit,152
Strategies - Capital Management,331
Payment cards - Credit cards,267
Financial Products and Services - OTC Derivatives,157
Strategies - Disclosure for the Resolution Plan,332
Non-life business - Protection policies - Motor,228
Institutional Relations and External Communication - Relations with Supervisors and Regulatory Authorities,186
Service Operation - FM operational management,317
Counter Services - Self Equipment Management,102
Administrative Processes - Archiving of documents in paper and electronic format,23
Other ancillary products and services - Loans for use and sale of gold,234
Own account finance - Funding,258
Service Transition - Supplier management,328
Cybersecurity and BC Services - Security Operation Center,140
Own Account Finance - Medium/long-term internal transfer rate management,249
Service Transition - Management of Physical Assets & SW Licenses,326
Property and Artistic Heritage - Management of Artistic Heritage,289
Human Resources - Personnel Administrative Management,177
Registry - Census and Counterparty Management,302
Financing - Moratoriums - Legislative Provisions and Collective Agreements,168
Abroad - Import documentary credits,2
Reports - Other Supervisory Reports,307
Property and Artistic Heritage - Administrative property management,287
Own Account Finance - Management Reporting and Profit and Loss Backtesting,246
Planning and Management Control - Industrial Accounting and Service Contracts,274
Corporate Finance - Structured Finance ONE,91
Own account finance - Euro and currency liquidity management,257
"Financial Products and Services - Clearing, Custody and Settlement Services",154
Own account finance - Management of collateralized bank assets,260
Compliance Management - Management of ICT Security and Business Continuity regulatory areas,48
Credit risk - Country risk,125
"Product Development, Services and Commercial Agreements - Pricing",285
Corporate Finance - Equity Capital Markets,87
Liquidity risk - Group liquidity risk,195
Integrated System of Internal Controls - Internal Violation Reporting System,188
Counter services - Management of relationships with counting rooms,105
Concession - Private individuals - Mortgages sold through third-party networks,82
Mandatory Fulfillments - Successions,218
Collections and Payments - Foreign Cheques,36
Abroad - Operations in foreign exchange,3
Management of Performing Credit in Monitoring - Proactive Management of Banks and Financial Institutions,209
Finance Master Data and Settings - Financial Instrument Master Data,151
Human Resources - Management of Employee Insurance Intermediaries,173
Litigation and Legal Advice - Management of legal disputes,197
Financing - Loan IQ financing,166
Pricing and Market Models - Independent Price Verification,280
Purchases and Sale of Goods - Register and Qualification of Suppliers and Third Parties,293
Service Transition - Test Management,329
Human Resources - Employee Personnel Development,170
Accounts and Deposits - Savings Books,21
Taxation - Compulsory communications to the Revenue Agency,338
"Development of Products, Services and Commercial Agreements - Corporate Welfare for Employees of the Bank's client companies",145
Financial Products and Services - Regulated derivatives,159
Accounting - Personnel Accounting,15
Third Party Finance - Securities,349
Valuations for Financial Statements purposes - Valuation of Securities and Derivatives,355
Reports - Matrix Reports and other Statistical Supervisory Reports,306
Pricing and Market Models - Pricing models and calculation of risk measures,282
Managed Savings - Mutual Investment Funds,207
Collections and Payments - SDD at bank risk,42
"Planning and Management Control - Budget, Forecast and Consolidation of Operating Expenses",272
