model,modelID
Own account finance - Securities - Management of auctions and syndicated issues of the Italian Treasury,1737
Concession - Private individuals - Acceptance and release Mortgage debtor - Offer of acceptance service from Builder,1603
Secured Guarantees - Particularities for Securities Portfolio Management,580
Foreclosures - Management of the attachment deed or request from the Supervisory Authority,1866
Fulfillments on waste produced by contracted activities,170
Corporate Financial Statements - Feeding of the Financial Statements application,41
Real Estate Asset Leasing Management - Sale of assets and closure of the position,999
Drafting of the Statement regarding the safeguarding of customer assets,2160
POUN management,1240
Resolution and Improvement-Subsidized Loans following Natural Calamities,2317
Repurchase Agreements - Purchase,1137
Validation - tracking and managing changes to trading algorithms,1604
Internal Dealing - Proprietary Insider List - Verification of the Price sensitivity of the files to be submitted to the Board of Directors and to the Committees,918
Individual membership or Collective membership of supplementary pension schemes and reporting activities,610
Evaluation of the ONP for Community Donation and Loan Projects,773
ONE Syndication - Originate to Share - Approval,1294
Corporate balance sheet - Integration entries,943
Definition or reconsideration of first or second level access gates,1235
Management of policies in prescription following expiry or accident,443
Disposal of Non Performing Loans and Portfolios of Non Performing and Mixed Loans - Portfolio Disposal and Single Name above threshold - Deal Execution,798
Interbank Guarantee Fund - Quarterly reversal certification,89
Calculation of high frequency credit risk metrics,1767
Renegotiation of Mortgages - Individuals and Intesa Sanpaolo Group Employees,169
Activities to be carried out following other damages in the Branch,550
Unlikely to pay - Management of initiatives on counterparties - BdT perimeter,338
Administrative fulfilments in implementation of the transfer of the intragroup business unit,62
Analytical evaluations - Non-performing loans,1816
Restricted Time Deposits - Activation and extinction upon expiry,161
Classification of customers Legal persons and Italian public customers - CIB,271
Monthly reporting Central Risks,1948
After sales certificates,2205
IRU Release and Discharge - Irrevocable Reimbursement Undertaking,2136
Collateral management - Margin calculation and management - Initial Margin,1851
Concession - Individuals - Personal Loans Finalized Loan and Installment Credit Line - Finalization,642
Management of Leasing Bad Loans - Analytical Evaluation of Leasing Bad Loans - Provis,137
"Corporate - Analysis of counterparty characteristics for reconfirmation, extension or assignment of rating or certification of benchmark or unrated rating",2168
Finalization of Land Credit - Building and Industrial Credit - Agricultural to SAL,426
Management of bad debts Leasing - Management of administrative obligations,2144
Individual COREP (Base PRUI) _ Flow generation - data verification - reporting sending,2255
Credit taxation - Declaration and payment of substitute tax on MLT loans,2051
Regulated Derivatives - Execution Only Client Management,1257
Management of the regulatory framework Embargoes - Tool Pelican and application of the 4-eyes principle,1593
International guarantees issued - Enforcement,631
ADUE - Debtor - SEDA Activation of mandates,4
Feeding of management systems and data control,2313
Debit and service cards - Issuance requested by Private Customers - On-Site Offer and Off-Site Offer,1187
Foreign Portfolio - Request for advances and loans,1032
Consolidated Net Stable Funding Ratio (NSFR) _ Flow generation - data verification - consolidation - reporting,1166
Contribution Management - Contribution Management In Installment Account,589
Release of approval for operations of subsidiaries with related parties Intesa Sanpaolo S.p.A. and Associated Persons of the Group,574
Subsequent Events Direct Guarantee 662 - 96,944
Management of transfers to the Tax Authorities of taxation of foreign securities and UCIs - Retail and corporate customers,373
Capital Management - Preparation of the Capital Plan - Processing and calculation,863
Credit Cards - Revocation of the Bank,1893
Contribution Management - Administrative Event Management,1494
Management of the regulatory framework for Embargoes - Acquisition of the prior opinion of the Anti-Financial Crime Head Office Department for significant transactions relating to Embargoes,1381
Internal Dealing - Proprietary Insider List - Identification of specific relevant and privileged information and feeding of the Lists,2127
Financial Products and Services - OTC Derivatives - Default Management and related service account - BdT,1326
Resolution Templates,2162
Protection Policies - Motor - Issuance of Policies - Distance Offering - Intesa Sanpaolo Agents4You,26
Group Regulatory Agenda,2296
Alarm management,501
Valuation of financial instruments for Administered Deposit securities statement,1431
Recovery and management of L3 banknotes not identified with certainty as authentic,265
Request for copy of documentation and communications produced by the Bank,2155
Provision of loan for use and sale of gold with deferred payment,1364
Funding - Reporting of medium/long-term transactions,1740
Standard supplier management,1590
Ordinary Management of Security Incidents,1481
Attribution of TIT MLT based on the authorized Step Up ceiling,7
User License Request - Fulfillment,1128
Loan of artistic assets,1672
Change of working hours Professional Areas full time,2268
Census and Counterparty Management - Negative news,1288
Syndication ONE - Originate to Share - Origination and structuring,1975
ABI Agreement for Credit - Finalization,439
Import documentary credits - Use and payment,861
Global Systemically Important Banks (G-SIBs) Assessment Exercise,31
Passive leases,657
Hypothetical portfolios - definition and initial loading,914
Online System Control,60
Application and Investigation-Subsidized Loans following Natural Disasters,65
Fee reporting - Configuration of support catalogues,2156
Structured Finance ONE - Approval,1679
Regulatory management of Embargoes - Oversight of financial instruments,2262
Credit Cards - Issuance requested by Private Customers - On-Site Offer and Off-Site Offer,2091
Administered deposit - Prior certification of customer reporting data and accounting flows,1131
Euro and foreign currency liquidity management - Interbank operations with Third Party Counterparties not of the Group,616
Clearing Custody and Settlement Services - Management and publication of Newsflash,273
ABaCo - Periodic survey of collateralized loans,1189
Planning of IT Security and Business Continuity controls,1022
Debit and service cards - Issuance requested by corporate customers (Customer Journey Commercial Cards) - On-premise offer - Off-premise offer - Remote offer,1808
Country risk - Allocation of ceilings for country risk,682
Malware analysis,473
Encumbered Guarantees Modification of the guaranteed pledge,494
Management of Commercial Promotions - BdT Division,2058
Annual review of service contracts - Update of monitoring subsystems,1119
Equity Capital Markets - US market underwriting,1270
Calculation and monitoring of daily indicators Liquidity Risk,817
Whistleblowing reports,738
Visits to counting rooms,1505
Individuals - Mortgages sold through third-party networks - Poste Italiane SpA - Preliminary investigation,1468
Succession - Employee Management,1093
Negotiation of Travelers Checks,639
Regulated derivatives - Collection management,1180
Abroad - Exchange operations - Change management,1097
ABaCo - Management of change events - Addendums and contractual options,1204
Proactive Management Banks and Financial Institutions - Request EWS color improvement override,17
Commercial Adjustment - BdT Division,2055
Financial Instrument Master Data - Registration activity,1567
Cessation of insurance distribution activity,1602
Registration of lawyers in the register,822
Clearing Custody and Settlement services - Management of securities tax transfers to the Treasury - Financial Institutions customers,2116
Successions - Declaration of subsistence and Certificate of liabilities,1439
Financial Instrument Master Data - Request for Isin assignment to the Bank of Italy and management of updates,558
Financing in Loan IQ - Contract definition and stipulation,479
Independent Price Verification - Level II - Bonds,2192
Monitoring Suppliers and Third Parties,232
Data copy management,618
Design and implementation of development and training models,2269
Savings Accounts - Blocks,1802
Large individual exposures (LEXI base) _ Generation of flows - data verification - sending of reports,36
Notifications to the Financial Reports Archive,348
Security Deposit Management for Company Welfare Service,222
Assignments and Early Exercises,2242
Payroll accounting,2257
Payment reporting - Accounting checks and invoicing,711
Third Party Finance - Securities - Management of Block Dealing,1062
Statistical individual reports - Organizational Participatory Structures (APE),1114
Own account finance - Securities - Monitoring of positions and prevention of the Buy In procedure,1843
Financial products and services - OTC derivatives - Transaction definition and conclusion - BdT,912
Valuation of OTC derivatives at accounting deadlines,2047
Data consolidation and Decadale sending,1533
Management of incoming and outgoing Cash Letters,520
Service level monitoring - Management of information flows for the control functions,261
Pricing models and calculation of Risk Measurements - Risk Model Governance in the area of Market and Counterparty Risks,1863
Self Equipment Management - Outsourcing of equipment located at the branch,960
Activities on Foreign Funds and Third Party Sicavs,529
Telepass Family - Current account Viacard,1738
Funding - Loans - Transactions regulated by German law,1475
Extra budget request - Administrative expenses,1129
Acquisition Improvement Direct Guarantee Fdo PMI 662 - 96,1467
Own account finance - OTC derivatives - Management of operational blocks,1084
Census - Update - Freezing Folder - Portfolio,1761
Management of Drafts payable by ISP issued by Foreign Correspondent Banks,907
POUNLight management,1338
Abroad - Foreign exchange operations - Validation of the Deal,58
Short Selling - Monitor short position and CDS and send alert,772
Definition and implementation of the Incentive System - Non-Performing Loans (NPL) personnel,1601
Savings Books - Change of Ownership for Bearer Savings Books,1445
Concession - Financial Institutions ONE - Plafond of Reliability,841
Staff with mixed employment contract - Mandatory professional updating,737
Management of checks in foreign currency that have never been debited and drawn on foreign banks,477
MIFID profiling and signing of the Single Integrated Contract - BdT,354
Definition of Faculty impacts and Rules,72
Government Center data collection,548
Management of keys and stronghold combinations,218
Payment cards - PIN recovery request for loss or forgetfulness,802
Payment cards - PIN recovery request for loss or forgetfulness,803
Payment cards - PIN recovery request for loss or forgetfulness,804
Self Equipment Management - Recovery of suspected counterfeit banknotes from MTA,282
IRR risk - International Bank Coordination for methodological changes and system adjustments,1179
"Checks on interlocking pursuant to art. 36 Legislative Decree ""Save Italy"" December 6, 2011 n. 201 (so-called ""Prohibition of interlocking"") in the subsidiaries of the Intesa Sanpaolo Group",1750
Third Party Finance - Securities - Tobin Tax Management Italy and France - IMI CIB Division,252
Repayment of unused final balances - Subsidized loans following natural disasters,1716
Prepaid Cards - Issuance requested by Private Customers - On-Site Offer,906
Rating assignment - Project Finance methodology,53
Control Report Management,2235
Variable rate determination for bond loans,402
Annual review of service contracts - Review of contractual contents,1392
Application and Architectural Analysis,1518
Financing-Loan Management-Operations on Non-Migrated Loans on Target applications,1766
Same-day cancellation of MIFID profiling and/or Single Integrated Contract,1986
Acquisition Completion of SACE guarantees,268
Remote Access Management to Application Features (WebVPN),697
Request and release of Domestic Signature Commitment,1175
Management of Eurizon - Epsilon physical certificates,1869
Census and Counterparty Management - Powers of Signature to operate on relationships,2243
Activities necessary for the classification of the counterparty,869
Management of early repayments of bonds and loans under German law (Schuldschein and Namenschuldverschreibung),281
Analysis of counterparty characteristics,1954
International Cash Pooling - Variation of deactivation and withdrawal of the service,1665
Procurement of newspapers - periodicals - publishing volumes,1173
Loan IQ - Disbursement - Disbursement,1669
ABaCo - Management of change events: Change of deteriorated or expiring rating,313
ICT process management,212
Registration in the Register and Qualification of Suppliers and Third Parties,1061
Syndication ONE - Check progress and data collection on Syndications,1014
Preliminary credit lines credit lines Confidi,175
Notifications Interbank Deposit Protection Fund - Single Customer view,427
Management of notified deeds and payments,317
EMIR - DFA - Periodic communications to Competent Authorities,790
Factoring - Finalization and implementation of the Assignor relationship,1777
Own Account Finance - OTC Derivatives - Trioptima - Cycles on Credit Derivatives on Index and Rate Derivatives,506
Revocation of the delegation of securities deposit,811
Decommissioning and Scrapping Physical Assets,1333
Remote Offer Administered Deposit and Financial Profile - Management of the right to withdraw,1456
Provisional badge release for Central Established Employees,345
Collection of new self-certification,1174
Multi-risk Stress Test,2001
Sale of Gold,1610
Credit Cards - Issuance requested by Private Customers - Internet Banking and Mobile App,771
Negotiation of our cashier's checks delivered by the Bank of Italy to lead branches,2217
Data analysis,2110
Bad Leasing Management - Statistical Analytical Evaluation - Provis,1578
Potentially critical event detection and reporting,2046
Out-of-procedure POS contract management - New report census,2291
Registration tax fulfilments Lease contracts,883
Transactional provisioning service XME Salvadanaio,1194
Management of the Short-Term Internal Transfer Rate - LV funding and lending operations that cannot be managed independently by the Network,1158
IRR risk - Update of the demand post model - Italy perimeter,341
Management of external requests related to the compilation of the IMF Contingency Plan of other Financial Institutions,2169
IVASS - Preparation and updating of the intermediary's pre-contractual information,1009
Identity and Access Management for Internal Users,1617
Modification of the Group Accounting Rules,1650
Procurement of personalized checks,2281
Individuals - Mortgages - Commercial Offer,1450
Mitigation,835
Regulated Derivatives - Transactions with Corporate Clients,1629
Management of change and tests in Supervisory Reports,314
Gold warehouse management - Loading and unloading activities,2179
EMIR - OTC and ETD derivative transactions report for customers with fulfillment of the reporting obligation carried out by the Bank on their behalf,1410
Price customization management - BdT Division,438
Analysis of needs and identification of the delivery model,90
Outgoing foreign wire transfers - Accounting management of expenses relating to foreign wire transfers,1641
Performing Forensic Analysis,1246
Management of Remediation Plan in the face of IT security incidents,464
Loading data into DSH and making data available,1525
Structuring and completion of the transaction,1404
"Updating of the Organisation, Management and Control Model pursuant to Legislative Decree 231 2001 Subsidiaries",372
Data consolidation and Base 7 sending (wear),1054
Concession - Individuals - Personal Loans Finalized Loan and Installment Credit Line - Preliminary Investigation and Resolution,164
Safety Deposit Boxes and Closed Deposits - Different variations on the ratio,1290
Corporate Finance - Mergers & Acquisitions - Structuring,1155
Management of the Service exposed on Public IP,866
Superbonus Ecobonus and other building bonuses - COMPANIES - Conditional transfer of the tax credit to be accrued,259
Check Covenant and activate Waiver_Amendment proposal,324
Check Covenant and activate Waiver_Amendment proposal,325
Check Covenant and activate Waiver_Amendment proposal,326
Check Covenant and activate Waiver_Amendment proposal,327
Third Party Securitizations - Structuring and Approval,30
Management of Private Retail Positions - Monitoring of intercepted positions,1715
Management of the Supply Chains - Stipulation of the Contract - Definition of the Supply Chain Perimeter - Supplier Assessment - Dealer and Supply Chain Activation,1312
Return to normal operations,442
Press release management,2251
Analysis of the characteristics of the counterparty for the reconfirmation of the assignment of the rating or the certification of the rating benchmark,0
Management of the Embargo regulatory area - Process Bypass controls in the Embargo area,349
Real estate costs Operating Units,1509
Digitization and archiving of relevant IMI CIB Structures documents,587
General Accounting - Journal,680
Arrangement of Permanent Transfer Orders,50
Protection policies - Motor - Distance Offer,2245
Active locations,287
Proactive Management Corporate and Small Business - Request EWS color enhancement override,1830
Profit and Loss - calculation and reporting,723
Consolidated Financial Statements - Credit quality analysis and contribution to the Explanatory Notes,1922
Clearing - Backloading - Customers,275
Active Management IFRS9,188
Active Management IFRS9,189
Delivery of Certificates of Conformity,107
Valuation of OTC derivatives - definition of fair value valuation adjustments,1374
Contracting of collection services at the counter,758
Design and delivery of training interventions,1075
Centralized interventions on the Italian portfolio,1977
Certificates of Deposit - Cancellations and reversals,1927
Clearing Custody and Settlement Services - Tax Refund Service,849
Payment cards - Delivery and activation of the Card and PIN,1485
Payment cards - Delivery and activation of the Card and PIN,1486
Payment cards - Delivery and activation of the Card and PIN,1487
Equity Capital Markets - Recruitment and Management of Other Roles,959
Registry of Reports - Transfer of reports,1215
Financial Products and Services - OTC Derivatives - MTM Reporting - IMI CIB and BdT,636
Probable Default - Management Resolutions,356
Stress Testing Book,731
Issuance of bank check books and issuance of cashier's checks,1933
Own Securitizations - Issuance and executions,2234
Central Risks - method of reporting disputed relationships and counterparties benefiting from suspensions,2147
Abroad - Foreign exchange transactions - Daily revaluation of foreign exchange positions on Kondor,783
Issuance of credentials to customers of affiliated external Bank-Company,1380
Management of customer service invoices,1202
Execution of the technical safety checks,2300
Independent Price Verification - FO Systems Alignment,1376
Fulfillment towards customers for Client Clearing service,2260
Communication of equity investment transactions and input of the system for calculating investment limits,1281
Profiling management of organizational structures and professional figures,1770
Contingency process - Messaging unavailability from CLS Bank,1605
Customer supplies,950
Pool audits,542
Loans with EIB Provisions,1253
Loans with EIB Provisions,1254
Loans with EIB Provisions,1255
Design of ICT Architectures and Standards,1321
Credit Cards - Issuance requested by Corporate Customers - On-Site Offer,1172
Processing of miscellaneous items removed - recovery of sums,1625
Repurchase from customers of diamonds purchased by DPI at the Bank's branches,210
Resignation and consensual termination,1428
Management of minor changes,538
Proactive Management Banks and Financial Institutions - Managing positions in Proactive Management (PM),245
Infrastructure products life cycle in Server Farm,1284
Confirming - Buyer Management,399
Credit Information Systems - Intervention Management,695
Inbiz service activation for Financial Institutions or Foreign Branch or Foreign Bank Customers,299
Abroad - Foreign exchange operations - Negotiation of spot exchange rates - BdT,982
Emission certificates - Admission to the secondary market,1772
Ordinary management - I level monitoring and investor reporting,411
Securities trading - Secondary market,2175
Securities trading - Secondary market,2176
Capital Management - Preparation of the Capital Plan - Startup,845
IRR risk - Management reporting,130
guesthouses,1848
Issuing permanent badge for non-employee personnel,126
Automatic revisions,219
Collaborative Fulfillment with AdE - Interlocution with the Revenue Agency,51
Non-performing reports - Bank of Italy diagnostics and final submission,816
DFA - Large Trader Reporting - Listed and OTC derivatives,2173
Loans in GIC - Contract definition and Stipulation,1395
Alternative Investments Funds - Expiry or divestment,1971
MiFID classification and contracting for Financial Institutions customers,810
Opening new relationships,555
Resolution - Loans to Intesa Sanpaolo Group employees,2170
Purchasing Management - Purchase Request Management,1371
Incoming foreign transfers - Management of funds transferred from Iran by a black listed subject,383
Performance Management - aHead - Middle Management performance evaluation,289
Loan Trading - Borrower Census,2229
SEF pricing definition - IMI CIB Division - Global Banking & Sovereign Institutions Dir,566
Management of Leasing Bad Loans - Add-On Application and Definition of Monthly Risk Fund - Provis,445
Employee Devices - Monitoring and Reporting,1382
Financial products and services - OTC derivatives - Contract document regularization - BdT,541
Extinction of the Corporate Welfare Service,103
Suspension of payment of mortgage installments and medium-long term loans,68
Eurofidi - Activation of the Counter-guarantee upon first request by the lender,364
Large Consolidated Exposures (LEXC Base) _ Generation of flows - data verification - consolidation - sending of reports,1836
Asset Accounting - Management,868
Sepa Direct Debit - Fraud monitoring and management,1275
Affixing a certain date on financial instruments as collateral,1706
Management of Subsidized Interventions - Appraisals,237
Abroad - Foreign exchange operations - Netting of positions,257
Takeover bid - Management of risk of activation Mandatory takeover bid and price integration,37
Management of Subsidized Interventions - Final balance,2244
Interventions on portfolio presentations,267
Other materials and services from the Electronic Catalogue,640
Domestic Cash Pooling - Sale and activation,1122
Concession - Proposed investigation and leasing resolution,2004
Handling support requests,1503
Group Counterparty Database - Harmonization of databases,362
Counterparty Census and Management - Acquisition and scanning of customer signatures,1308
Mortgage renegotiations - Corporate and Retail Company Financing,116
Customer Portfolio - Transfer of the positions of customers already portfolio,702
Banking group definition,1015
