risk,riskID,riskType,financialDisclosureRisk
Failure to reset the EOD folder,653,Other risks (operational),False
Incorrect data entered in the Front Office system,1424,Financial Information Risk (ex 262/2005),True
Over-hedging,2449,Other risks (operational),False
Incorrect data in the Front Office system,1449,Financial Information Risk (ex 262/2005),True
Wrong communication to the SGR,3012,Financial Information Risk (ex 262/2005),True
Missed or incorrect census,2284,Other risks (operational),False
Incorrect/incomplete feeding of the Budget application,2083,Financial Information Risk (ex 262/2005),True
 Incomplete and correct compilation of checklists,9,Financial Information Risk (ex 262/2005),True
Incompleteness of checklists,946,Financial Information Risk (ex 262/2005),True
Incorrect balances,1276,Financial Information Risk (ex 262/2005),True
Inconsistent data,993,Financial Information Risk (ex 262/2005),True
Incorrect and/or incomplete entry of additions into the Financial Statements application,1207,Financial Information Risk (ex 262/2005),True
Incorrect / Incomplete generation of the summary file relating to investments,1032,Financial Information Risk (ex 262/2005),True
Lack of correctness / completeness of data,2158,Financial Information Risk (ex 262/2005),True
Incorrect application of the Group Accounting Rules,1242,Financial Information Risk (ex 262/2005),True
Uncertified data,2856,Financial Information Risk (ex 262/2005),True
Lack of completeness/accuracy,2147,Financial Information Risk (ex 262/2005),True
Incorrect management system update,1706,Financial Information Risk (ex 262/2005),True
Unrecognized capital gains or losses,2875,Financial Information Risk (ex 262/2005),True
Incomplete compilation of the proposal,837,Financial Information Risk (ex 262/2005),True
Incorrect proposal,1871,Financial Information Risk (ex 262/2005),True
Incomplete preparation of the Document supporting the report,911,Other risks (operational),False
Incomplete or mismatched documentation,901,Financial Information Risk (ex 262/2005),True
Incorrect counts,1401,Financial Information Risk (ex 262/2005),True
Completeness/correctness of documentation,199,Financial Information Risk (ex 262/2005),True
Completeness of documentation,197,Financial Information Risk (ex 262/2005),True
TEG over threshold,2815,Financial Information Risk (ex 262/2005),True
Incorrect data,1413,Other risks (operational),False
Missing data,2301,Other risks (operational),False
Failure to identify the correct type of List,578,Other risks (operational),False
Incorrect validation of the List containing incorrect data,2028,Other risks (operational),False
Missing/incorrect Price Sensitivity Verification Form,2319,Other risks (operational),False
 Failure to update system data in the event of uncompleted transactions,8,Financial Information Risk (ex 262/2005),True
Incorrect data entry into the system,1434,Financial Information Risk (ex 262/2005),True
Incorrect or incomplete completion of the Form,1745,Other risks (operational),False
Incorrect accounting data,1086,Financial Information Risk (ex 262/2005),True
Incorrect valuation of the first note,2036,Financial Information Risk (ex 262/2005),True
