activityType,activityCategory,activity,activityID
process activity,Professional,Collect/Place orders,17339
process activity,Professional,Collect/Place orders,17092
process activity,Professional,Receive the final auction results,28089
process activity,Professional,Impute definitive bids,17939
process activity,Professional,Enter the data in the position keeping system,17937
control activity,Other,Verify and validate the entered data,17938
control activity,Other,Check resetting of the EOD folder,32043
process activity,Professional,Receive notification of government bonds subject to AUCTION,28099
process activity,Professional,Access the bidding procedure,28088
process activity,Professional,Make bids,28072
process activity,Professional,Receive the final auction results,17936
process activity,Professional,Enter test bid,17941
process activity,Professional,Calculate hedge amount,33643
control activity,Other,Verify compliance with Hedges,31605
process activity,Professional,Access the auction management system,17940
process activity,Professional,Communicate switch and swap level updates to the market,34547
process activity,Professional,Notify the Syndicate desk of switch and swap level updates,33641
process activity,Professional,Communicate Final Spread,34546
process activity,Professional,Enter the data in the position keeping system,28070
control activity,Professional,Check and validate the data entered in the position keeping,28071
process activity,Professional,Consolidate size and definitive spread with the MEF,12972
process activity,Professional,Issue the purchase and sale ticket,28144
process activity,Professional,Make the call for the definition of the pricing,33644
process activity,Professional,Communicate allocations and request confirmation from investors from Sales,33642
process activity,Professional,Start initial price talk,12971
process activity,Operational,Identify one or more reference branches and provide a specific communication format,4441
process activity,Professional,Deliver the documentation to the manufacturer,4442
process activity,Commercial,Contact the payer and assess their financial needs,22144
process activity,Commercial,Personalize the conditions and deliver the commercial offer to the Customer,21496
process activity,Professional,Acquire the specific authorization of the client,22143
process activity,Operational,Execute privacy obligations (prospect customer),21495
process activity,Commercial,Explain to the builder the take-off service and prepare the construction site sheet,4440
process activity,Commercial,Interview the customer and expose the recommended offer,21494
process activity,Operational,Explain the characteristics of the transaction and comply with the provisions on transparency,21493
process activity,Professional,Have the guarantor sign the deed of pledge,8467
process activity,Operational,Receive feedback from the SGR and prepare the documentation for completion,34433
process activity,Professional,Proceed with the required communications to the SGR,23684
control activity,Other,Verify the correct communication to the SGR,26277
process activity,Professional,Receive and examine the deed,28809
process activity,Operational,Consolidate the statement,11638
process activity,Professional,Report any exceptions/additions to what was automatically detected by the system,28394
process activity,Operational,Sign the paperwork pursuant to art. 73,35142
process activity,Operational,Integrate the data useful for the non-automatic declaration,28396
process activity,Professional,Carry out the necessary actions for custody signaled by the system,17149
process activity,Professional,Register the paper document,21629
process activity,Professional,See the statement,11637
process activity,Professional,Record the essential data of the attachment in the procedure,17146
control activity,Operational,Verify and/or complete the application,28395
process activity,Operational,Start and monitor the processing of the deed received by PEC,13005
process activity,Operational,Register the deed in procedure,17147
control activity,Operational,Supervise the processing of documents,17148
process activity,Professional,Provide feedback to the Authority,16616
process activity,Operational,Oversee operational compliance with regard to waste from office equipment,18793
process activity,Operational,Monitor communication (MUD) regarding all hazardous waste disposed of,18684
process activity,Operational,Supervise the correct temporary storage of waste,18688
process activity,Operational,Sample and archive the documentation certifying the conferment of waste,18794
process activity,Operational,Arrange for the collection of unused office equipment and its possible disposal,18685
process activity,Operational,Sample and archive the documentation certifying the conferment of waste,6634
process activity,Operational,Provide for the collection of unused equipment and eventual disposal,18687
process activity,Operational,Activate the competent Office for the replacement/disposal of the equipment,18792
process activity,Operational,Activate the competent office for the replacement/disposal of computer equipment,6635
process activity,Operational,Supervise the work of the companies that provide nursing services,18686
process activity,Operational,Start the diagnostic,3573
control activity,Other,Check the diagnostic results,26509
process activity,Operational,Start the diagnostic report of the Budget application,12866
