activityID,actorID
117339,2492
117339,902
117339,2243
117339,904
117092,3096
117092,1914
117092,2243
117092,904
117092,902
128089,176
117939,176
117937,176
117938,176
132043,176
128099,176
128088,176
128072,176
117936,176
117941,176
133643,177
133643,1914
131605,176
117940,176
134547,1914
133641,177
133641,1914
134546,1914
128070,176
128071,176
112972,1914
112972,177
128144,902
128144,176
128144,2243
128144,2492
128144,904
133644,1914
133644,177
133642,904
133642,3096
133642,902
133642,1914
112971,1914
104441,1924
104441,3169
104441,3168
104441,2487
104441,867
104441,2687
104441,1271
104441,729
104441,1702
104441,3160
104442,737
104442,2021
104442,2487
104442,1436
104442,1860
104442,1795
104442,2687
104442,776
104442,1439
104442,1271
104442,1438
122144,1924
122144,3169
122144,3168
122144,2487
122144,867
122144,2687
122144,1271
122144,729
122144,1702
121496,1924
121496,3169
121496,3168
121496,2487
121496,867
121496,2687
121496,1271
121496,729
121496,1702
122143,1924
122143,3169
122143,3168
122143,2487
122143,867
122143,2687
122143,1271
122143,729
122143,1702
122143,2021
122143,1436
122143,1860
122143,1795
122143,776
122143,1439
122143,1438
121495,1924
121495,3169
121495,3168
121495,2487
121495,867
121495,2687
121495,1271
121495,729
121495,1702
104440,3160
104440,2021
104440,2487
104440,1436
104440,1860
104440,1795
104440,2687
104440,776
104440,1439
104440,1271
104440,1438
121494,1924
121494,3169
121494,3168
121494,2487
121494,867
121494,2687
121494,1271
121494,729
121494,1702
121493,1924
121493,3169
121493,3168
121493,2487
121493,867
121493,2687
121493,1271
121493,729
121493,1702
108467,2160
108467,1872
108467,1439
108467,737
108467,349
108467,130
108467,1436
108467,3168
108467,1437
108467,2159
108467,2159
108467,3169
108467,776
108467,2487
108467,129
108467,1438
108467,867
108467,2687
108467,1860
108467,2021
108467,1870
108467,863
108467,1871
108467,1488
134433,1436
134433,3168
134433,1437
134433,2159
134433,2159
134433,3169
134433,776
134433,2487
134433,129
134433,1438
134433,867
134433,2687
134433,1860
134433,2021
134433,1870
134433,863
134433,1871
134433,1488
134433,2160
134433,1872
134433,1439
134433,737
134433,349
134433,130
123684,2160
123684,1872
123684,1439
123684,737
123684,349
123684,130
123684,1436
123684,3168
123684,1437
123684,2159
123684,2159
123684,3169
123684,776
123684,2487
123684,129
123684,1438
123684,867
123684,2687
123684,1860
123684,2021
123684,1870
123684,863
123684,1871
123684,1488
126277,2160
126277,1872
126277,1439
126277,737
126277,349
126277,130
126277,1436
126277,3168
126277,1437
126277,2159
126277,2159
126277,3169
126277,776
126277,2487
126277,129
126277,1438
126277,867
126277,2687
126277,1860
126277,2021
126277,1870
126277,863
126277,1871
126277,1488
128809,2212
128809,1271
128809,1437
128809,1702
128809,863
128809,1966
128809,2406
128809,867
128809,1924
128809,1575
128809,3324
128809,3017
128809,1860
128809,1438
128809,729
128809,3168
128809,2687
128809,2487
128809,776
128809,3169
128809,3049
128809,2021
128809,1795
128809,2176
128809,2175
128809,3151
128809,1739
128809,2876
128809,1768
128809,730
128809,737
128809,3146
128809,3147
111638,3147
128394,129
128394,1271
128394,1437
128394,1702
128394,863
128394,1966
128394,2406
128394,867
128394,1924
128394,1575
128394,3324
128394,3017
128394,1860
128394,1438
128394,729
128394,3168
128394,2687
128394,2487
128394,776
128394,3169
128394,3049
128394,2021
128394,1795
128394,2876
128394,730
128394,737
135142,3147
128396,3147
117149,2876
117149,1271
117149,1437
117149,1702
117149,863
117149,1966
117149,2406
117149,867
117149,1924
117149,1575
117149,3324
117149,3017
117149,1860
117149,1438
117149,729
117149,3168
117149,2687
117149,2487
117149,776
117149,3169
117149,3049
117149,2021
117149,1795
117149,1871
117149,1870
117149,3147
117149,129
117149,730
117149,737
121629,1739
121629,2212
121629,3147
121629,3146
111637,1871
111637,1870
111637,1271
111637,1437
111637,1702
111637,863
111637,1966
111637,2406
111637,867
111637,1924
111637,1575
111637,3324
111637,3017
111637,1860
111637,1438
111637,729
111637,3168
111637,2687
111637,2487
111637,776
111637,3169
111637,3049
111637,2021
111637,1795
111637,730
111637,737
111637,129
117146,2159
117146,2159
117146,2160
117146,730
117146,737
117146,129
117146,2876
117146,1271
117146,1437
117146,1702
117146,863
117146,1966
117146,2406
117146,867
117146,1924
117146,1575
117146,3324
117146,3017
117146,1860
117146,1438
117146,729
117146,3168
117146,2687
117146,2487
117146,776
117146,3169
117146,3049
117146,2021
117146,1795
128395,3147
113005,3147
117147,1292
117147,3147
117148,3147
116616,1768
116616,3147
118684,2653
118684,2712
118688,1488
118688,1924
118688,2349
118688,127
118688,1099
118688,2687
118688,3168
118688,2712
118688,2021
118794,3069
118685,620
106634,2349
118687,2712
118687,620
118792,1488
118792,1924
118792,2349
118792,127
118792,1099
118792,2687
118792,3168
118792,2712
118792,2021
106635,2712
106635,1488
106635,1924
106635,2349
106635,127
106635,1099
106635,2687
106635,3168
106635,2021
118686,3069
103573,2890
103573,2892
103573,1331
103573,1331
103573,2891
103573,1800
126509,1800
126509,2892
126509,2890
126509,2891
112866,2891
112866,2892
112866,2890
112866,1331
112866,1331
112866,1800
112867,2890
112867,2892
112867,1800
112867,2891
125460,2520
125460,2815
125460,1335
125460,3158
125460,1653
125460,1765
125460,2993
125460,2369
125460,2635
125460,2288
125460,3371
125460,2028
125460,1828
125460,426
125460,711
125460,1318
125460,2900
125460,2994
125460,1270
125460,346
125460,3159
125460,3157
125460,246
125460,826
125460,3104
125460,195
129493,3158
129493,1653
129493,1765
129493,2993
129493,2369
129493,2635
129493,2288
129493,3371
129493,2028
129493,1828
129493,426
129493,711
129493,1318
129493,2900
129493,2994
129493,1270
129493,346
129493,3159
129493,3157
129493,246
129493,826
129493,3104
129493,195
107175,3158
107175,1653
107175,1765
107175,2993
107175,2369
107175,2635
107175,2288
107175,3371
107175,2028
107175,1828
107175,426
107175,711
107175,1318
107175,2900
107175,2994
107175,1270
107175,346
107175,3159
107175,3157
107175,246
107175,826
107175,3104
107175,195
107175,2520
107175,2815
107175,1335
133807,2520
133807,2815
133807,1335
103572,1800
103572,2892
103572,2891
103572,2890
126508,2891
126508,2892
126508,2890
126508,1800
108138,205
108138,2891
108138,2890
108138,1800
108138,1331
108138,1331
108138,1333
108138,2892
120621,2890
120621,1800
120621,2891
120621,2892
126812,2890
126812,1800
126812,2891
126812,2892
125459,2520
125459,2815
125459,1335
125459,1334
125459,205
125459,3158
125459,1653
125459,1765
125459,2993
125459,2369
125459,2635
125459,2288
125459,3371
125459,2028
125459,1828
125459,426
125459,711
125459,1318
125459,2900
125459,2994
125459,1270
