activityID,applicationID
117431,514
117179,1338
128252,662
118033,1265
118031,298
118032,298
132225,298
128262,514
128262,1340
128262,1338
128262,662
128251,662
128235,662
118030,1265
118035,1265
133842,1338
133842,514
118034,1265
134753,1338
133840,1338
134752,1338
128233,662
128233,298
128234,662
128234,298
113033,1338
128308,298
133843,1338
133841,1338
113032,1338
104463,514
122270,514
121613,746
122269,514
104462,514
121611,746
121610,746
123819,514
128978,936
128978,514
128978,1865
111688,988
128561,988
135354,920
128563,988
117238,988
121748,988
111687,988
117235,988
128562,988
113066,514
113066,988
113066,936
117236,514
117236,988
117237,988
116697,1717
116697,1865
103594,1168
126665,1168
112927,1168
112928,1168
125607,891
129664,891
107208,891
134006,891
103593,1168
126664,1168
126664,1681
120731,1168
126969,1168
126969,1681
125606,891
120306,1304
120306,1168
120306,1681
120306,949
120306,1082
104078,1681
104078,1168
112926,1681
112926,1168
127894,1168
120730,1168
100476,1168
116743,1168
117569,507
117569,726
117569,1168
122656,1168
133774,1168
121216,317
121216,1908
120254,514
120254,1908
114104,514
104793,514
104793,317
134894,514
134894,317
100354,366
116602,1908
116602,1624
116441,1908
116441,514
116442,514
116442,1908
114105,317
114105,1842
114105,514
110941,745
110941,1784
116603,1624
104794,1624
121215,1624
121215,317
121215,1908
120858,514
101093,317
101093,514
104792,514
111631,514
121032,126
111632,514
110143,514
124926,514
121033,514
121033,126
110145,514
121034,126
110144,514
107966,321
112298,321
109045,321
125111,321
121444,1857
103811,321
109044,321
112991,321
127233,514
127233,321
112297,321
112115,321
121443,1857
127234,514
127234,321
107964,321
107965,321
103812,321
115554,321
107967,321
113169,321
117494,1116
117494,1294
118530,514
100959,514
114730,1600
126114,1291
107610,1600
107611,133
117495,1525
117495,1200
100961,514
107613,1294
107613,1116
107612,278
133148,514
118528,1291
117492,1600
102681,514
118529,1291
105294,514
126115,1291
126115,1448
130333,1600
127265,826
127302,514
127302,826
107517,514
107517,826
127266,826
127244,1842
109880,72
109880,746
127304,1402
127245,1294
127245,826
127245,514
127243,514
127301,1474
127300,514
127268,826
127306,514
118388,514
118388,366
127459,514
132199,514
132199,624
114055,514
114055,366
122899,624
122899,514
127448,514
132181,624
115325,624
132210,514
132205,1125
120738,514
132182,624
132208,624
120739,624
127460,624
132184,1125
127453,514
127449,514
109841,514
109841,624
132202,624
132196,514
132207,514
132211,624
127452,624
132197,514
132213,624
132201,514
132200,514
126828,366
126828,514
132209,624
132203,624
115326,514
128504,514
128504,366
128504,624
127458,514
127451,624
127451,514
127227,624
132186,514
132204,514
127457,624
115724,1784
115724,1402
115724,746
115964,746
105678,746
115690,746
105677,746
104188,746
120054,746
120054,1523
129353,1428
115691,746
131270,746
131270,1523
105679,746
119049,1483
119049,431
119049,816
119049,30
110653,572
110655,572
119051,562
110656,572
135079,430
135077,1320
129774,1330
129774,30
129774,75
135057,1320
135059,75
135059,1330
111880,1330
111880,75
135076,970
135075,1330
135075,75
135061,75
135061,1330
135064,75
135064,1330
125901,514
108517,1680
130605,1680
125900,514
125900,1680
125900,507
121814,1842
114556,1012
114557,1012
121815,514
114555,1012
133549,936
133549,514
114999,514
114999,794
105387,514
128836,366
128836,923
131467,514
104230,1784
125271,936
125271,514
118963,936
118963,514
124438,366
124438,923
124438,514
130411,514
115184,514
115184,936
109119,514
125516,514
125516,936
125270,514
111056,514
112311,1377
112311,514
112311,333
125515,936
125515,514
128860,514
128860,936
133761,514
133761,794
112845,366
112845,514
131147,514
131147,923
131147,366
113155,1379
113155,819
113155,317
113155,366
113155,923
113155,1594
113155,1929
113155,514
128861,514
128861,923
128861,819
