activityID,riskID
117937,13524
117937,14476
133643,15293
128070,14475
123684,13665
117146,14425
117147,10064
103573,12547
112866,12548
125460,14535
107175,13150
103572,10574
120621,14160
120198,13510
120198,12064
120620,12554
120620,12200
100475,10766
122527,15208
104768,15366
104768,13226
116361,12585
120746,10163
120921,11853
100954,10153
125966,14028
107577,10366
102661,10365
118435,11404
125967,14693
127143,14209
127085,14208
128277,10372
102228,14837
103704,10607
134849,12323
134855,15381
134850,15383
108472,14629
125540,13157
109943,12974
117615,12785
117622,10683
106478,13237
117623,14407
106481,13235
117626,13429
106480,13236
117613,12718
132114,11208
130847,14952
115433,10196
120681,13245
117187,11734
126390,12436
110893,11536
130219,13872
111035,14300
111035,13871
126944,10922
110817,11735
128964,12435
100316,10423
122520,13516
110347,14465
110348,15357
116698,13515
110723,14107
126745,14154
128186,12771
117896,14153
121832,12843
114989,10730
104934,11869
114992,10786
114992,10731
130697,12651
114990,10729
114990,14734
105985,12772
113395,10531
113376,12008
113396,10530
100235,13224
130947,10532
118934,11060
133884,15264
123181,12964
118940,12071
118941,14560
133876,15260
133878,15261
132388,15008
118942,10161
118936,15021
133885,15262
118931,10162
133877,15265
133883,15263
133883,15259
118935,12963
118947,12781
118933,12414
100266,10050
119957,13129
118930,15022
118938,13826
118938,13825
118939,11061
118943,12415
130726,10977
130728,10976
130728,14757
103816,12483
105549,10256
103815,10975
114152,12845
109761,12045
128978,14977
128977,10520
128976,12311
122032,12312
114141,13990
114189,12252
114237,11514
122034,13433
116390,12587
104678,10438
134633,10439
125007,10014
133961,15269
133961,11126
111613,11104
104039,10656
131270,14862
104041,11063
118537,12942
133191,14554
133191,14555
133191,14556
101780,14104
129285,14266
129285,14267
129285,14265
127643,11581
129397,14573
128257,14488
128258,15277
121906,13416
128184,14340
128255,11683
109655,11534
109657,10834
116664,12620
124309,10842
110029,10841
105133,10839
105133,10840
110031,13764
116744,15333
116742,12630
134441,15334
109176,14762
107270,11145
100720,13473
112920,11421
128662,14366
112919,14764
109174,14763
105597,10887
134826,10605
108550,14997
129968,14659
129969,12299
103073,11749
103076,10603
130465,14738
130464,11751
108547,12833
103074,10602
104160,12832
103078,11750
102683,10604
108552,12834
104515,14448
115593,11761
129557,10278
129560,11317
108238,15038
134333,12710
107216,13499
121646,11677
121645,11507
112418,11996
107217,11506
115519,12450
119236,11312
132521,10342
102987,10483
111783,15142
109694,11547
129733,12277
115565,10158
102078,10332
127308,11793
118582,11792
130914,12228
130916,12932
130913,15044
130917,11112
102530,12933
127265,12375
124973,13883
125094,13920
125094,13921
104425,12284
100707,10941
130303,10331
130335,11396
127617,11986
130346,14310
104777,10773
104777,10774
130349,11395
130349,10890
127619,15195
121922,10361
130375,12790
130379,14239
105045,10598
105045,10599
105046,12147
129470,14581
120670,10722
121547,13403
121549,13364
121142,14254
123486,13639
120671,13131
131813,11927
104292,10702
112192,13186
112191,13187
131079,13776
120260,13153
131080,13777
130528,14735
121746,12629
114305,13215
110902,14534
106969,11748
129145,10432
114386,12272
108247,11319
122060,13439
128302,12152
116825,12260
111214,12363
111112,14220
123595,14221
113271,12171
113553,12156
113552,12138
113685,12110
114841,10041
125351,14127
112631,14542
124100,14543
133385,11233
108277,13171
104351,12838
104352,12839
116594,14736
116594,11956
116594,11955
134966,10490
128840,12947
112580,11181
102151,14303
132802,14845
114871,11877
108082,12488
126821,12487
114870,14844
100561,15219
134659,13308
123025,10189
109583,11525
109582,11524
106352,10997
106352,10996
100348,10705
127758,10695
120452,11222
132172,14992
100805,10132
100459,10085
100461,10082
126411,14087
108037,12464
100458,10084
100463,10083
108038,11272
102937,10386
119626,13085
105350,15225
112535,11194
112348,11475
111910,13755
111908,11613
134720,10721
134720,14839
134720,15370
103441,12094
131107,10312
131109,10924
133524,14696
130165,13386
133523,13779
119250,13046
129376,15187
129375,11763
121423,10150
102148,11193
107541,12149
117632,15318
118555,12108
124951,11166
109807,13781
124113,14173
118550,12557
118550,14589
128433,12558
103162,10077
103162,11358
103161,14175
134485,14174
119911,14176
119911,11559
116700,11190
121713,11165
108787,11893
121058,14937
102570,10654
128984,12556
109335,11490
109345,11491
114125,10362
114124,13933
114123,14571
118013,10029
133045,13682
122425,13486
108725,10263
126033,14019
126034,10335
123379,13570
125888,13711
125794,13597
126180,10334
103194,10506
125887,10336
109337,11149
121544,13363
129806,14674
109076,11444
131983,10824
103628,10591
108871,11419
134744,15371
108870,11420
132754,13270
122399,14774
122399,14773
102758,11002
102755,11001
120487,11102
103767,12555
120488,10238
120486,11103
106192,14620
131754,14791
131756,14792
127061,14793
