controlCategory,controlType,controlPeriodocity,control,controlID
NA,Manual,0.1,Verify and validate the entered data,2924
NA,NA,,Check resetting of the EOD folder,5210
NA,NA,0.1,Verify compliance with Hedges,5151
Professional,Manual,0.1,Check and validate the data entered in the position keeping,4605
NA,Manual,0.1,Verify the correct communication to the SGR,4280
Operational,NA,,Verify and/or complete the application,4661
Operational,Semi-automatic,0.1,Supervise the processing of documents,2805
NA,Semi-automatic,92.0,Check the diagnostic results,4309
NA,Semi-automatic,92.0,Check the diagnostic results,2083
NA,Manual,182.0,Check the correctness and completeness of the compilation,4817
NA,Manual,182.0,    Check the completeness of the answers received,5536
NA,Manual,92.0,Verify correspondence of accounting balances with balance sheet results,4308
NA,Manual,92.0,Verify correspondence of the accounting balances with the Budget application,4366
NA,Manual,92.0,Check that the data has been loaded correctly,681
NA,Manual,92.0,Check aggregated data in summary files,2082
NA,Manual,182.0,Verify the correct application of the Group Accounting Rules,3582
NA,Semi-automatic,92.0,Check for rejects,4365
NA,Manual,92.0,Attest the certification of the phases,2718
NA,Manual,365.0, Check the completeness and accuracy of the NI Financial Statement tables / disclosures,5495
Operational,Manual,0.1,Verify correct implementation on the management system,5663
NA,Manual,92.0,Check the accounting of capital gains or losses,58
Professional,Manual,0.1,Check documentation completeness,2671
Professional,Manual,0.1,Check proposal data for large amounts,173
NA,NA,,Check the completeness of the Document,4737
NA,Manual,0.1,Verify Beneficiary Use Request,2388
NA,Manual,0.1,Check the correctness of the documentation,1179
NA,Manual,0.1,Verify the correctness of the data entered in the system,369
NA,Manual,0.1,Check the correctness of the documentation,368
NA,Manual,0.1,Check the correctness of the documentation,1408
NA,Manual,0.1,Check that the TEG has been checked,4929
Commercial,NA,0.1,Check the data proposed by the procedure,1165
Commercial,Manual,0.1,Verify contractual fulfillment,1594
NA,NA,,Verify correct identification of the type of List,374
NA,NA,,Check List,5069
NA,NA,,Verify the presence and correctness of the Price Sensitivity Form,627
NA,Manual,0.1,Verify the updating of the data in the system in case of uncompleted operations,4833
NA,Manual,0.1,Check the data entered in the system,1613
NA,Manual,0.1,Verify the correct and complete compilation of the form,249
NA,Manual,92.0,Verify correct accounting entry of journal entries,4964
NA,Manual,30.0,Check the report,1191
NA,Semi-automatic,92.0,Check the first note entered,5548
NA,Semi-automatic,92.0,Check accounting ledgers,425
NA,Semi-automatic,30.0,Verify the correct execution of the pre-processing,2129
NA,Semi-automatic,7.0,Verify the correct execution of the pre-processing,3226
NA,Semi-automatic,30.0,Check the correctness of the calculated values for the metrics,2130
NA,Semi-automatic,7.0,Check the correctness of the calculated values for the metrics,328
NA,Semi-automatic,30.0,Verify the correctness/completeness of the input data,1871
NA,Semi-automatic,7.0,Verify the correctness/completeness of the input data,5675
NA,Manual,0.1,Verify the correct assumption of the resolution,4676
NA,NA,,Verify the installment/income ratio and the absence of negative/prejudicial news,2902
NA,Manual,0.1,Check the data entered in the procedure,2839
NA,Manual,0.1,Verify the correctness of the data entered in the procedure,5489
NA,Manual,0.1,Verify completeness/correctness of documentation,3335
NA,Manual,0.1,Verify the correctness of the expenses for calculating the TEG set out in the procedure,3555
NA,Manual,0.1,Verify the correctness of the Declaration of expenses incurred,3336
NA,Manual,0.1,Verify completeness and correctness of the documentation,4675
Operational,Manual,0.1,Check loading locations,1196
NA,Semi-automatic,0.1,Check the received file,5187
NA,Semi-automatic,30.0,Verify the correctness of the creditworthiness delta,4246
NA,Automatic,30.0,Check the consistency of prices for the instruments received,3110
NA,Manual,30.0,Check the new assessment,1901
NA,Semi-automatic,30.0,Verify the correctness of prices and accounting records,5397
NA,Manual,92.0,Verify the correctness of the amounts,4416
NA,Manual,92.0,Verify the complete communication of the ROs on FT 416,3344
Professional,Manual,0.1,Verify the proposed resolution out of autonomy,1741
NA,Manual,92.0,Verify the consistency of the provisions,4415
NA,Manual,0.1,Check the completeness/update of the supporting documentation,1557
NA,Manual,0.1,Verify the correct registration of resolutions in the system,4385
NA,Manual,0.1,Verify congruence of the repayment plan,2403
NA,Manual,0.1,Verify the correct identification of the Deliberating Body,5281
NA,Manual,0.1,Check the proposed provision or disbursement to the Provision for Risks and Miscellaneous Charges,934
Professional,Manual,0.1,Verify the proposed resolution out of autonomy,2895
NA,Manual,30.0,Verify the correct attribution,223
NA,Manual,30.0,Evaluate the adequacy of the amounts,52
NA,Manual,30.0,Check for tape waste,5206
NA,Semi-automatic,30.0,Check the reported anomalies,422
Operational,Manual,0.1,Check,817
Operational,Manual,0.1,Oversee the risk of incorrect and/or incomplete accounting of commissions,1957
Operational,Manual,0.1,Check highlighted Black Listed callsign,1694
Operational,Manual,0.1,Check,2726
NA,Semi-automatic,1.0,Monitor market parameters,2037
NA,Semi-automatic,0.1,Carry out quality controls,4081
NA,Semi-automatic,0.1,Carry out technical checks,4080
Operational,Manual,0.1,Verify decision-making powers,4320
Operational,Manual,0.1,Verify system evaluation correctness,73
Operational,Manual,0.1,Check proposal out of autonomy,4321
Operational,Manual,0.1,Validate the correction proposal,2916
Operational,Manual,0.1,Check the completeness/update of the supporting documentation,2917
NA,Manual,0.1,Check that the TEG has been checked,3891
Operational,Semi-automatic,0.1,Verify the correctness and adequacy of the covenant in the contract,1887
NA,Manual,0.1,Verify the correct acquisition of the contractual scheme and related signatures,754
NA,Manual,0.1,Verify and certify the consistency of the economic conditions indicated in the Contract with what is present in the System,797
NA,Manual,0.1,Check the acquired documentation,783
NA,Manual,0.1,Verify the correct inclusion of the covenants in the contract,4201
NA,Manual,0.1,Check draft contracts,753
Operational,Manual,0.1,Verify reports with cost items,3978
Operational,Manual,0.1,Check passage to loss,562
Professional,Manual,0.1,Verify the correctness of the authorization competence,5045
Operational,Manual,0.1,Check chargeback of costs,561
Operational,Manual,0.1,Verify correct transposition into the system,3325
Operational,Manual,0.1,Check list of positions for accrual of expenses,563
NA,Semi-automatic,92.0,Verify the correct import of data in the COREP-Tagetik Package,1059
NA,Manual,92.0,Verify the correct processing of flows,5552
NA,Manual,182.0,Verify the correctness and completeness of the Group Solvency data entered in the system,3046
NA,Manual,92.0,Check that the data has been loaded correctly,2098
NA,Manual,92.0,Verify the consistency of the GB/OV1 package with what is present in the COREP-Tagetik phase,4796
NA,Manual,92.0,Check that the data has been entered correctly,5555
NA,Semi-automatic,92.0,Check the correctness of the data,5550
NA,Manual,92.0,Check that the data has been entered correctly,5083
NA,Manual,92.0,Verify the correct compilation of Form 5B,169
NA,Manual,92.0,Check the correctness of the entered data,5271
NA,Manual,92.0,Check that the data has been entered correctly,5551
NA,Manual,92.0,Verify correct data integration,170
NA,Semi-automatic,92.0,Check for evidence of processing,5554
NA,Semi-automatic,92.0,Check for evidence of processing,5553
NA,Manual,92.0,Check that the data has been sent,5549
NA,Manual,92.0,Verify the correctness and completeness of the Full Standard data entered in the system,3045
NA,Semi-automatic,365.0,Check the correct compilation of Form 8,2877
NA,Manual,92.0,Verify the correct compilation of Form 5A,2487
NA,Manual,92.0,Verify the complete fulfillment of the reliefs,494
NA,Manual,92.0,Check that the data has been entered correctly,3233
NA,Semi-automatic,92.0,Check the data of the COREP-Tagetik Package,5272
NA,Semi-automatic,92.0,Verify the correctness of the Excess or shortfall data,4019
NA,Semi-automatic,92.0,Verify the correct import of data in the COREP-Tagetik Package,4021
NA,Semi-automatic,182.0,Check the correctness of the IP Losses data,4020
NA,Semi-automatic,92.0,Verify the correctness of the Geographical Breakdown data,4022
NA,Manual,92.0,Check the data relating to Credit Value Adjustment for Companies with internal models,4018
NA,Semi-automatic,92.0,Verify that the Calendar Provisioning data is correct,4575
NA,Manual,92.0,Verify the correctness of the Own Funds data entered in the system,2097
NA,Manual,182.0,Check the correct compilation of the file required for Template C14,2488
Operational,Manual,0.1,Check the correctness of the data,978
Operational,Manual,0.1,Cross reference aggregated data with accounting data,3197
Operational,Manual,0.1,Check the adequacy of the received data,977
Operational,Manual,0.1,Check the correctness of the payments,5011
Operational,Manual,0.1,Verify the correspondence of the amount,288
Operational,Manual,0.1,Check the completeness of the prospectuses received,976
Operational,Manual,30.0,Verify correctness of invoices,2919
Operational,Manual,0.1,Carry out the fulfilments foreseen in terms of AML/CTF or Countering the Financing of Terrorism,5530
Operational,Manual,0.1,Carry out checks on AML/CTF or Countering Terrorism Financing,5529
NA,Manual,0.1,Check,5211
Operational,Manual,0.1,Tick the entered data,2136
NA,Manual,0.1,Verify correct input of data,2375
NA,Manual,0.1,Verify correct input of data,2376
Operational,Manual,0.1,Carry out the fulfilments foreseen in terms of AML/CTF or Countering the Financing of Terrorism,4190
Operational,Manual,0.1,Carry out checks on AML/CTF or Countering Terrorism Financing,4189
Operational,Manual,0.1,Check,5342
Operational,Manual,0.1,Check the load of documentation,3206
NA,NA,,Check,574
Operational,Manual,0.1,Tick the entered data,4120
NA,Manual,0.1,Verify the correspondence of the data,2603
NA,Semi-automatic,0.1,Check the conformity of the signature affixed,5723
NA,Semi-automatic,0.1,Check anomaly resolution,11
NA,Semi-automatic,0.1,Verify the results of the merit checks,4876
NA,Semi-automatic,0.1,Verify the results of the merit checks,4345
Operational,Manual,0.1,Check the data of the operation,552
NA,Automatic,92.0,Check the completeness and consistency of the uploaded data,680
NA,Semi-automatic,92.0,Verify the consistency of the reporting flow in ITS EBA format and carry out performance checks,5095
NA,Semi-automatic,92.0,Please check the submission for completeness and correctness,1061
NA,Semi-automatic,92.0,Verify the complete fulfillment of the reliefs,3016
Operational,Manual,0.1,Check data and automatic counts,4792
NA,Manual,0.1,Verify the completeness and correctness of the manual printout,1024
Operational,Manual,0.1,Verify the completeness and correctness of the semi-automatic report,1023
Operational,Manual,0.1,Carry out accounting ledger reconciliation,4318
Operational,Semi-automatic,30.0,Verify the reconciliation between the procedure archive and the accounting ledger,4479
Operational,Semi-automatic,0.1,Check the amount of contributions collected,4478
Operational,Semi-automatic,30.0,Verify that the data in the procedure correspond to those present in the masters,4480
NA,Manual,0.1,Verify counterparty and if the transaction is of greater significance,867
NA,Manual,0.1,Verify decision-making competence,2158
NA,Manual,0.1,Check the communication and the attached documentation,4734
NA,Manual,0.1,Check the documentary evidence,5572
NA,Manual,0.1,Check the completeness and correctness of the documentation received,3545
NA,Manual,0.1,Check the correctness of the documentation,1727
NA,Manual,0.1,Check the documentation Doc. in support,1728
NA,Manual,0.1,Check the completeness and correctness of the documentation,1555
NA,Manual,0.1,Check the completeness and correctness of the documentation,820
NA,Manual,0.1,Reconcile the payments of tax codes 1239 and 1241,4565
NA,Manual,0.1,Verify correct zeroing of masters,653
NA,Manual,0.1,Verify correct zeroing of masters,2485
NA,Manual,0.1,Verify correct accounting,3075
NA,Manual,0.1,Check the correctness of the payments,3076
NA,Manual,0.1,Balance the payments,500
NA,NA,,Verify the consistency of the Capital Plan projections with respect to the economic and financial projections,1013
NA,NA,,Verify the alignment of the capital indicators with the reporting data,5631
NA,NA,,Verify the consistency of the capital adequacy indicators with the RAF limits,1014
Professional,Semi-automatic,0.1,Check the compilation of the summary report,808
Operational,Manual,0.1,Verify and archive the documentation produced,1254
Professional,Semi-automatic,0.1,Verify the accounting of the collected contributions,5242
NA,Manual,30.0,Verify accounting balances,1431
Operational,Semi-automatic,30.0,Reconcile account balances,4710
Professional,Semi-automatic,0.1,Verify entry in accounting,5091
Operational,Manual,30.0,Check balance of balances,4602
Professional,Semi-automatic,0.1,Verify the correct accounting of the pending,5294
NA,NA,,Verify the concrete implementation of the precautions to which the favorable opinion is subject,898
NA,NA,,Check registration in Limited Information List,625
NA,NA,,Verify Insider List subscription,5245
NA,NA,,Check Specify relevant information,2120
NA,NA,,Check that the correct type of List has been identified,2121
NA,NA,,Check the completeness of the names,1759
NA,NA,,Verify enrollment in Watch List,623
NA,NA,,Verify subscription to the Insider List,2119
NA,NA,,Check the completeness of the names,1761
NA,NA,,Check identification of the correct type of List,2908
NA,NA,,Check List,622
NA,NA,,Verify Limited Information List entry,2907
NA,NA,,Check the completeness of the names,1760
NA,NA,,Verify identification of the correct type of List,624
NA,NA,,Verify correct identification of the List,5010
NA,Manual,0.1,Verify the correct closure of PVs in contra entry to the Service Account,4692
NA,Manual,0.1,Check the correct closure of the PVs,1772
NA,Manual,0.1,Verify correct conversion into Euros,304
NA,Manual,0.1,Verify the correct closing of the Service Account and of the Miscellaneous Items in exchange for the settlement current account,1301
NA,Manual,0.1,Verify the correct transfer of the Service Account and Miscellaneous Non-Performing Items,5297
NA,NA,,Monitor the operations carried out by the supervisee in financial instruments of OTC Derivatives,2809
NA,Manual,0.1,Check data availability,1951
NA,Manual,0.1,Verify the report in the final format,1691
NA,Manual,0.1,Check the contributions prepared,1529
NA,Manual,0.1,Verify the formal correctness of the report,2019
NA,Manual,0.1,Verify the correctness of the contribution,1528
NA,Manual,0.1,Check data availability,4660
NA,NA,,Check the correctness and completeness of the documentation,1297
Operational,Manual,0.1,Verify correct accounting,3939
NA,Manual,3650.0,Monitor and check for unprocessed requests,564
Operational,Manual,0.1,Check that the entered data is correct,3059
Operational,Manual,0.1,Send emails to your structure mailbox for subsequent forwarding to the custodian,5717
Operational,Manual,0.1,Verify the congruence of the metal to be delivered,3461
NA,Manual,0.1,Check the completeness of the models to be sent to the EIB,161
Professional,Manual,92.0,Check the amounts,2221
Operational,NA,,Verify the implementation of the actions ordered and subsequently their effectiveness,1800
Operational,NA,,Check criteria for requesting assessment to GRe.CIM/Local CSIRT,1799
NA,NA,,Verify correct management system alignment,2278
NA,Manual,0.1,Verify authorization based on the Management Autonomy Faculties,3010
NA,NA,,Carry out checks on the consistency of the assignment and on the applicant,5304
NA,NA,,Verify correct management system alignment,1105
NA,Manual,0.1,Verify authorization based on the Management Autonomy Faculties,3011
Operational,Manual,0.1,Verify that the update has taken place,1234
NA,Manual,0.1,Verify the correct and complete compilation of the form,3219
NA,Manual,0.1,Verify the correct and complete compilation of the form,2751
NA,Manual,0.1,Check the contents of the confidentiality agreement,2752
NA,Manual,0.1,Verify that the installments have been collected,2345
NA,Manual,0.1,Verify the correct execution of the activities,946
Operational,Manual,0.1,Carry out the fulfilments foreseen in terms of AML/CTF or Countering the Financing of Terrorism,343
Operational,Manual,0.1,Carry out checks on AML/CTF or Countering Terrorism Financing,342
Operational,Manual,0.1,Check the correctness and consistency of the data entered,1272
Operational,Manual,0.1,Check the correctness and consistency of the data entered,3373
NA,Manual,0.1,Check the actual income from commissions and expenses,4531
Operational,Manual,0.1,Check the correctness and consistency of the data entered,1262
Operational,Manual,0.1,Carry out checks on AML/CTF or Countering Terrorism Financing,1260
Operational,Manual,0.1,Carry out the fulfilments foreseen in terms of AML/CTF or Countering the Financing of Terrorism,1261
Operational,Manual,0.1,Carry out checks on AML/CTF or Countering Terrorism Financing,901
NA,Manual,0.1,Verify the operation in the case of petroleum products and petrochemicals,1403
Operational,Manual,0.1,Carry out the fulfilments foreseen in terms of AML/CTF or Countering the Financing of Terrorism,902
Operational,Manual,0.1,Carry out the fulfilments foreseen in terms of AML/CTF or Countering the Financing of Terrorism,5482
Operational,Manual,0.1,Carry out checks on AML/CTF or Countering Terrorism Financing,5481
Operational,Manual,0.1,Check the correctness and consistency of the data entered,3949
NA,Manual,0.1,Check the completeness and correctness of the data provided,344
NA,Manual,0.1,Check the completeness/correctness of the data provided,42
Operational,Semi-automatic,365.0,Verify the correct compilation of the template for the part of your competence,2096
Operational,Manual,365.0,Check the completeness and consistency of the template compilation,2095
