level3ID,modelID
246,1736
45,1602
331,580
152,1865
288,170
30,41
6,998
10,2159
262,1239
306,2316
131,1136
96,1603
273,917
307,610
210,773
201,1293
30,942
234,1234
282,443
192,797
344,89
53,1766
204,169
231,550
144,338
277,62
214,1815
140,161
10,271
342,1947
230,2204
61,2135
259,1850
90,642
137,137
159,2167
169,426
137,2143
225,2254
104,2050
76,1256
128,1592
69,631
114,4
24,2312
309,1186
183,1031
225,1165
88,589
353,574
77,943
98,373
244,862
315,1892
88,1493
128,1380
273,2126
279,1325
219,2161
81,26
308,2295
163,501
98,1430
329,265
352,2154
171,1363
170,1739
270,1589
26,1480
261,7
254,1127
43,1671
274,2267
287,1287
201,1974
205,439
67,860
126,31
256,657
91,913
163,60
306,65
21,2155
79,1678
128,2261
315,2090
98,1130
151,616
251,273
318,1188
286,1021
309,1807
1,682
26,473
331,494
22,2057
21,1118
193,1269
350,816
78,738
47,1504
154,1467
168,1092
208,639
76,1179
240,1096
318,1203
337,17
22,2054
321,1566
284,1601
147,821
251,2115
168,1438
321,558
148,479
118,2191
66,232
25,618
17,2268
35,1801
225,36
80,348
120,222
269,2241
62,2256
21,711
75,1061
126,1113
246,1842
279,911
4,2046
300,1532
208,520
21,261
267,1862
329,959
19,529
276,1737
170,1474
189,1128
77,1466
355,1083
91,1760
208,906
262,1337
240,58
11,772
299,1600
35,1444
207,840
121,737
208,477
10,354
238,72
24,548
231,218
343,801
315,802
309,803
329,282
249,1178
37,1749
75,252
306,1715
343,905
14,53
295,2234
237,402
21,1391
263,1517
198,1765
10,1985
203,268
298,697
325,1174
19,1868
287,2242
187,868
237,281
14,1953
12,1664
122,1172
148,1668
318,313
295,212
66,1060
201,1013
336,175
126,427
317,317
275,789
190,1776
355,506
98,810
254,1332
98,1455
234,345
139,1173
180,2000
171,1609
315,771
174,2216
48,2109
137,1577
265,2045
8,2290
113,882
140,1193
155,1157
249,341
219,2168
241,1008
153,1616
181,1649
122,2280
116,1449
338,834
76,1628
300,314
171,2178
275,1409
22,438
48,90
224,1640
26,1245
223,464
281,1524
123,1403
351,372
300,1053
90,164
68,1289
245,1154
228,865
323,259
70,324
217,325
87,326
207,327
293,30
133,1714
