model,modelID
Own account finance - Securities - Management of auctions and syndicated issues of the Italian Treasury,10001738
Concession - Private individuals - Acceptance and release Mortgage debtor - Offer of acceptance service from Builder,10001604
Secured Guarantees - Particularities for Securities Portfolio Management,10000581
Foreclosures - Management of the attachment deed or request from the Supervisory Authority,10001867
Fulfillments on waste produced by contracted activities,10000170
Corporate Financial Statements - Feeding of the Financial Statements application,10000041
Real Estate Asset Leasing Management - Sale of assets and closure of the position,10001000
Drafting of the Statement regarding the safeguarding of customer assets,10002163
POUN management,10001241
Resolution and Improvement-Subsidized Loans following Natural Calamities,10002320
Repurchase Agreements - Purchase,10001138
Validation - tracking and managing changes to trading algorithms,10001605
Internal Dealing - Proprietary Insider List - Verification of the Price sensitivity of the files to be submitted to the Board of Directors and to the Committees,10000919
Individual membership or Collective membership of supplementary pension schemes and reporting activities,10000611
Evaluation of the ONP for Community Donation and Loan Projects,10000774
ONE Syndication - Originate to Share - Approval,10001295
Corporate balance sheet - Integration entries,10000944
Definition or reconsideration of first or second level access gates,10001236
Management of policies in prescription following expiry or accident,10000443
Disposal of Non Performing Loans and Portfolios of Non Performing and Mixed Loans - Portfolio Disposal and Single Name above threshold - Deal Execution,10000799
Interbank Guarantee Fund - Quarterly reversal certification,10000089
Calculation of high frequency credit risk metrics,10001768
Renegotiation of Mortgages - Individuals and Intesa Sanpaolo Group Employees,10000169
Activities to be carried out following other damages in the Branch,10000550
Unlikely to pay - Management of initiatives on counterparties - BdT perimeter,10000338
Administrative fulfilments in implementation of the transfer of the intragroup business unit,10000062
Analytical evaluations - Non-performing loans,10001817
Restricted Time Deposits - Activation and extinction upon expiry,10000161
Classification of customers Legal persons and Italian public customers - CIB,10000271
Monthly reporting Central Risks,10001950
After sales certificates,10002208
IRU Release and Discharge - Irrevocable Reimbursement Undertaking,10002139
Collateral management - Margin calculation and management - Initial Margin,10001852
Concession - Individuals - Personal Loans Finalized Loan and Installment Credit Line - Finalization,10000643
Management of Leasing Bad Loans - Analytical Evaluation of Leasing Bad Loans - Provis,10000137
"Corporate - Analysis of counterparty characteristics for reconfirmation, extension or assignment of rating or certification of benchmark or unrated rating",10002171
Finalization of Land Credit - Building and Industrial Credit - Agricultural to SAL,10000426
Management of bad debts Leasing - Management of administrative obligations,10002147
Individual COREP (Base PRUI) _ Flow generation - data verification - reporting sending,10002258
Credit taxation - Declaration and payment of substitute tax on MLT loans,10002053
Regulated Derivatives - Execution Only Client Management,10001258
Management of the regulatory framework Embargoes - Tool Pelican and application of the 4-eyes principle,10001594
International guarantees issued - Enforcement,10000632
ADUE - Debtor - SEDA Activation of mandates,10000004
Feeding of management systems and data control,10002316
