risk,riskID,riskType,financialDisclosureRisk
Failure to reset the EOD folder,103524,Other risks (operational),False
Incorrect data entered in the Front Office system,104476,Financial Information Risk (ex 262/2005),True
Over-hedging,105293,Other risks (operational),False
Incorrect data in the Front Office system,104475,Financial Information Risk (ex 262/2005),True
Wrong communication to the SGR,103665,Financial Information Risk (ex 262/2005),True
Missed or incorrect census,104425,Other risks (operational),False
Missed or incorrect census,100064,Other risks (operational),False
Incorrect/incomplete feeding of the Budget application,102547,Financial Information Risk (ex 262/2005),True
Incorrect/incomplete feeding of the Budget application,102548,Financial Information Risk (ex 262/2005),True
 Incomplete and correct compilation of checklists,104535,Financial Information Risk (ex 262/2005),True
Incompleteness of checklists,103150,Financial Information Risk (ex 262/2005),True
Incorrect balances,100574,Financial Information Risk (ex 262/2005),True
Inconsistent data,104160,Financial Information Risk (ex 262/2005),True
Incorrect and/or incomplete entry of additions into the Financial Statements application,103510,Financial Information Risk (ex 262/2005),True
Incorrect / Incomplete generation of the summary file relating to investments,102064,Financial Information Risk (ex 262/2005),True
Lack of correctness / completeness of data,102554,Financial Information Risk (ex 262/2005),True
Incorrect application of the Group Accounting Rules,102200,Financial Information Risk (ex 262/2005),True
Uncertified data,100766,Financial Information Risk (ex 262/2005),True
Lack of completeness/accuracy,105208,Financial Information Risk (ex 262/2005),True
Incorrect management system update,105366,Financial Information Risk (ex 262/2005),True
Unrecognized capital gains or losses,103226,Financial Information Risk (ex 262/2005),True
Incomplete compilation of the proposal,102585,Financial Information Risk (ex 262/2005),True
Incorrect proposal,100163,Financial Information Risk (ex 262/2005),True
Incomplete preparation of the Document supporting the report,101853,Other risks (operational),False
Incomplete or mismatched documentation,100153,Financial Information Risk (ex 262/2005),True
Incorrect counts,104028,Financial Information Risk (ex 262/2005),True
Completeness/correctness of documentation,100366,Financial Information Risk (ex 262/2005),True
Completeness of documentation,100365,Financial Information Risk (ex 262/2005),True
Completeness/correctness of documentation,101404,Financial Information Risk (ex 262/2005),True
TEG over threshold,104693,Financial Information Risk (ex 262/2005),True
Incorrect data,104209,Other risks (operational),False
Missing data,104208,Other risks (operational),False
Failure to identify the correct type of List,100372,Other risks (operational),False
Incorrect validation of the List containing incorrect data,104837,Other risks (operational),False
Missing/incorrect Price Sensitivity Verification Form,100607,Other risks (operational),False
 Failure to update system data in the event of uncompleted transactions,102323,Financial Information Risk (ex 262/2005),True
Incorrect data entry into the system,105381,Financial Information Risk (ex 262/2005),True
Incorrect or incomplete completion of the Form,105383,Other risks (operational),False
