riskGUID,risk,riskID,riskType
a53ae1c0-4046-11eb-275f-001dd8b72a50,Failure to reset the EOD folder,653,Other (operational) risks
d2b50e36-aeeb-11ea-4b37-001dd8b72a50,Incorrect data entered in the Front Office system,1424,Financial Disclosure Risk (ex 262/2005)
f8e45cd2-2812-11eb-275f-001dd8b72a50,Over-hedging,2449,Other (operational) risks
d2b50e30-aeeb-11ea-4b37-001dd8b72a50,Incorrect data in the Front Office system,1449,Financial Disclosure Risk (ex 262/2005)
ad1fb0ba-6a60-11e8-2249-001dd8b721ea,Wrong communication to the SGR,3012,Financial Disclosure Risk (ex 262/2005)
cfc99ae5-05ac-11e8-2249-001dd8b721ea,Missed or incorrect census,2284,Other (operational) risks
026df5cf-2822-11e8-2249-001dd8b721ea,Missed or incorrect census,2284,Other (operational) risks
77022b40-ac76-11e9-6ab0-001dd8b72a56,Incorrect/incomplete feeding of the Budget application,2083,Financial Disclosure Risk (ex 262/2005)
77022b43-ac76-11e9-6ab0-001dd8b72a56,Incorrect/incomplete feeding of the Budget application,2083,Financial Disclosure Risk (ex 262/2005)
d4cd9353-5162-11ec-60ce-001dd8b72a56, Incomplete and correct compilation of checklists,9,Financial Disclosure Risk (ex 262/2005)
93a53520-5164-11ec-60ce-001dd8b72a56,Incompleteness of checklists,946,Financial Disclosure Risk (ex 262/2005)
1962cfc6-bb3f-11e8-2249-001dd8b721ea,Incorrect balances,1276,Financial Disclosure Risk (ex 262/2005)
c3d223b2-3a46-11e7-2688-00101818ed80,Inconsistent data,993,Financial Disclosure Risk (ex 262/2005)
a4a49144-ae98-11e7-2249-001dd8b721ea,Incorrect and/or incomplete entry of additions into the Financial Statements application,1207,Financial Disclosure Risk (ex 262/2005)
5e707cb2-cea7-11e7-2249-001dd8b721ea,Incorrect / Incomplete generation of the summary file relating to investments,1032,Financial Disclosure Risk (ex 262/2005)
773e858a-d414-11e7-2249-001dd8b721ea,Lack of correctness / completeness of data,2158,Financial Disclosure Risk (ex 262/2005)
6598fb40-e967-11eb-60ce-001dd8b72a56,Incorrect application of the Group Accounting Rules,1242,Financial Disclosure Risk (ex 262/2005)
21d4d442-9c9f-11e9-2249-001dd8b721ea,Uncertified data,2856,Financial Disclosure Risk (ex 262/2005)
