Italian,English
Gestione Finanza,Finance Management
Gestione Credito,Credit Management
Gestione Prodotti e Servizi Transazionali,Management of Transactional Products and Services
Gestione Rischi e Controlli,Risk Management and Controls
Informativa Finanziaria e Reporting Regolamentare,Financial Information and Regulatory Reporting
Gestione ICT e Sicurezza Informatica,ICT Management and Information Security
Gestione Banca Assicurazione,Bank Insurance Management
Sviluppo Commerciale e Gestione Relazioni,Business Development and Relationship Management
Gestione Risorse,Resources management
"Strategie, Pianificazione e Controllo di Gestione","Strategies, Planning and Management Control"
