Italian,English
Direzione Finance & Investments - Divisione IMI CIB,Finance & Investments Department - IMI CIB Division
Market Hub,Market Hub
Portafoglio di Tesoreria,Treasury Portfolio
Global Markets Sales,Global Markets Sales
Client Solutions & Syndication,Client Solutions & Syndication
Debt Syndication,Debt Syndication
Rates Trading,Rate Trading
Government Bond Trading,Government Bond Trading
Direttore di Filiale Terzo Settore,Third Sector Branch Manager
Gestore Privati - Filiale Retail,Private Manager - Retail Branch
Direttore di Filiale Exclusive,Exclusive Branch Manager
Coordinatore Commerciale,Commercial Coordinator
Gestore Privati - Filiale Exclusive,Private Manager - Exclusive Branch
Direttore di Filiale Retail,Retail Branch Manager
Gestore Aziende Retail,Retail Business Manager
Gestore Terzo Settore,Third Sector Manager
Coordinatore Commerciale Terzo Settore,Third Sector Commercial Coordinator
Direttore Commerciale Retail,Retail Commercial Director
Addetto Imprese,Business Officer
Direttore di Filiale Imprese,Business Branch Manager
Direttore di Filiale Agribusiness,Agribusiness Branch Manager
Coordinatore Imprese,Business Coordinator
Gestore Imprese Top Value,Top Value Business Manager
Gestore Imprese,Business Manager
Addetto Agribusiness,Agribusiness employee
Gestore Agribusiness,Agribusiness manager
Assistant Relationship Manager - Direzione Global Banking & Sovereign Institutions,Assistant Relationship Manager - Global Banking & Sovereign Institutions Department
Assistente CLB,CLB assistant
ISPB - Assistente,ISPB - Assistant
Assistant Relationship Manager - Direzione Global Corporate,Assistant Relationship Manager - Global Corporate Management
Coordinatore Agribusiness,Agribusiness Coordinator
Relationship Manager - Direzione Global Banking & Sovereign Institutions,Relationship Manager - Global Banking & Sovereign Institutions Department
Relationship Manager - Direzione Global Corporate,Relationship Manager - Global Corporate Department
Responsabile Mercato CLB,CLB Market Manager
ISPB - Private Banker,ISPB - Private Banker
Gestore CLB,CLB manager
ISPB - Direttore Filiale Private,ISPB - Private Branch Manager
"Processing, Control & Reporting","Processing, Control & Reporting"
Coordinatore di Relazione,Report Coordinator
ISPB - Private Banker Executive,ISPB - Private Banker Executive
Gestore Enti,Entity manager
Gestore Base,Base manager
Filiale Accentrata Terzo Settore,Third Sector Centralized Branch
Direttore di Area Agribusiness,Director of Agribusiness Area
Reclami Finanziamenti,Loan Claims
Reclami Servizi Bancari e Servizi Investimento,Claims for Banking Services and Investment Services
Italia Transazionale,Italy Transactional
Fideuram Intesa Sanpaolo Private Banking - Affari Legali ISPB,Fideuram Intesa Sanpaolo Private Banking - ISPB Legal Affairs
Customer Care e Filiale Financial Institutions,Customer Care and Financial Institutions Branch
Gestione Esposti e Governo Conformità Reclami,Management of Complaints and Governance of Complaints Compliance
Addetto Terzo Settore,Third Sector Officer
Accertamenti Bancari,Bank checks
Pignoramenti,Foreclosures
Normativa del Lavoro,Labor law
Ufficio Servizi di Supporto Logistico,Logistics Support Services Office
"Sistemi di Gestione Salute e Sicurezza, Ambiente ed Energia","Health and Safety, Environment and Energy Management Systems"
Workspace and Endpoint Service Execution,Workspace and Endpoint Service Execution
Poli Immobiliari,Poli Immobiliare
Responsabile di Area - Direzione Global Corporate,Area Manager - Global Corporate Management
Facility Management,Facility Management
Servizi al Personale,Personnel Services
Ditta Incaricata,Appointed Company
Finanza Banking Book,Finance Banking Book
Filiali Estere,Foreign branches
Crediti e Partitario di Bilancio,Credits and Balance sheet
Finanza Trading Book,Finance Trading Book
Bilancio Capogruppo,Parent Company Financial Statements
Sistemi Contabili di Sintesi,Summary Accounting Systems
Presidio Valutazione Poste Patrimoniali,Presidium for Valuation of Assets and Liabilities
Bilancio e Vigilanza Capogruppo,Financial Statements and Parent Company Supervision
Normativa Contabile e di Vigilanza di Gruppo,Group Accounting and Supervisory Regulations
Direzione Centrale People Management & HR Transformation,People Management & HR Transformation Head Office Department
Direzione Centrale Immobili e Logistica,Central Real Estate and Logistics Department
Direzione Governo Operativo e Finanziario - Divisione IMI CIB,Operational and Financial Governance Department - IMI CIB Division
Direzione Centrale Credit Risk Management,Central Credit Risk Management Department
Direzione Centrale Pianificazione e Controllo di Gestione,Central Management Planning and Control Department
"Direzione Centrale Arte, Cultura e Beni Storici","Central Directorate of Art, Culture and Historical Heritage"
Direzione Centrale Governo del Credito,Credit Governance Central Directorate
Direzione Centrale Cybersecurity and Business Continuity Management,Cybersecurity and Business Continuity Management Central Department
Direzione Centrale Tesoreria e Finanza di Gruppo,Group Treasury and Finance Head Office Department
Direzione Centrale Enterprise Risk Management,Enterprise Risk Management Central Department
Direzione Centrale Presidio Valore del Credito,Credit Value Control Central Department
Direzione Centrale Operations,Central Operations Management
Direzione Centrale Risk Management IMI CIB,IMI CIB Risk Management Central Department
Direzione Centrale M&A e Partecipazioni di Gruppo,M&A Central Management and Group Equity Investments
Direzione Centrale Market and Financial Risk Management,Market and Financial Risk Management Central Department
Direzione Centrale Cost Management,Cost Management Central Department
Direzione Centrale Legale e Contenzioso - Group General Counsel,Central Legal and Litigation Department - Group General Counsel
Direzione Centrale Politiche di Sviluppo e Learning,Central Directorate for Development and Learning Policies
Costo del Lavoro e Supporto Area di Governo COO,Labor Costs and COO Governance Area Support
Direzione Centrale Sistemi Informativi,Information Systems Central Management
Direzione Centrale Affari Sindacali e Politiche del Lavoro,Central Directorate for Trade Union Affairs and Labor Policies
Direzione Centrale NPE,NPE Central Directorate
Divisione Banca dei Territori - Direzione Controlli e Supporto al Business,Banca dei Territori Division - Controls and Business Support Department
Normativa Contabile,Accounting regulations
Reporting - DC Amministrazione e Fiscale,Reporting - DC Administration and Tax
Progetti e Sviluppi Amministrativi,Administrative Projects and Developments
Monitoraggio Processi di Chiusura e Data Quality Contabilità,Monitoring Closing Processes and Data Quality Accounting
Ciclo Attivo e Passivo,Active and Passive Cycle
Vigilanza Statistica,Statistical surveillance
Vigilanza Prudenziale,Prudential Supervision
Politiche di Remunerazione - DC Politiche di Sviluppo e Learning,Remuneration Policies - DC Development and Learning Policies
Bilancio Consolidato,Consolidated financial statements
Fiscale,Tax
Gestione Diretta Bad Loans,Direct management of bad loans
Gestione Recuperi e Outsourcing REOCO & Leasing,Recovery Management and Outsourcing REOCO & Leasing
Servicer,Servicers
Middle Office e Gestione Amministrativa Parabancario,Middle Office and Parabanking Administrative Management
Coordinamento Amministrativo REOCO & Leasing,REOCO & Leasing Administrative Coordination
Asset Management - DC Immobili e Logistica,Asset Management - DC Real Estate and Logistics
Operations Factoring,Operations Factoring
Responsabilità Amministrativa Enti,Corporate Administrative Liability
Real Estate Advisory - DC Immobili e Logistica,Real Estate Advisory - DC Real Estate and Logistics
Adempimenti Amministrativi Banca 5 e Società Non Bancarie,Bank 5 Administrative Fulfillments and Non-Banking Companies
Servizi di Investimento,Investment Services
Audit Attività e Rischi Finanziari,Audit Activities and Financial Risks
Operations Finanza,Operations Finance
Finanza e Capital Markets,Finance and Capital Markets
Audit Processi di Governo e Supporto,Audit of Government and Support Processes
Consulenza Legale Prodotti e Servizi Commerciali,Legal Consulting Products and Commercial Services
Organizzazione Divisione IMI CIB e altri Ambiti,Organization Division IMI CIB and other Sectors
Organizzazione Funzioni di Governance,Organization of Governance Functions
International Corporate & Financial Institutions Sales,International Corporate & Financial Institutions Sales
Legal Advisory Capital Markets e Finanza Cartolare,Legal Advisory Capital Markets and Securities Finance
Governo e Sviluppo Processi,Governance and Process Development
Operations Servizi di Investimento,Operations Investment Services
Cybersecurity and Business Continuity Strategy and Group Governance,Cybersecurity and Business Continuity Strategy and Group Governance
Finanza & Payments,Finance & Payments
Hybrid Data Center & PaaS,Hybrid Data Centers & PaaS
Workspace & Endpoint Deployment,Workspace & Endpoint Deployment
Architetture (Area Chapter Architecture),Architectures (Area Chapter Architecture)
Coordinamento Trasformazioni Infrastrutturali,Coordination of Infrastructural Transformations
Infrastrutture Sistemi Specialistici,Infrastructures Specialist Systems
"Crediti, Risorse Umane e Facilities","Loans, Human Resources and Facilities"
Domain IMI CIB,Domain IMI CIB
BdT e Sistemi di Pagamento,BdT and Payment Systems
Canali - DC Sistemi Informativi,Channels - DC Information Systems
Dati e Aree di Governo (Area Chapter Data Management),Data and Governance Areas (Chapter Data Management Area)
Servizi DevOps e Ambienti,DevOps Services and Environments
Infrastrutture Tecnologiche (Area Chapter Infrastructure),Technological Infrastructures (Area Chapter Infrastructure)
Cambi e Derivati,Foreign Exchange and Derivatives
Supporto Tecnico - Direzione Regionale,Technical Support - Regional Management
Finanziamenti MLT,MLT funding
Assistenza Risparmio e Advisory,Savings Assistance and Advisory
Repo & Secured Financing,Repo & Secured Financing
Divisione Banca dei Territori - Direzione Regionale,Banca dei Territori Division - Regional Management
Direttore Regionale,Regional Director
Risk Analytics,Risk Analytics
Market Conformity Controls,Market Conformity Controls
Coordinamento Compliance Filiali Estere,Compliance Coordination of Foreign Branches
Proprietary Systems,Proprietary Systems
Direzione Global Markets Securities - Divisione IMI CIB,Global Markets Securities Department - IMI CIB Division
Global Markets Trading London - Divisione IMI CIB,Global Markets Trading London - IMI CIB Division
Securities Markets Regulation and Reporting,Securities Markets Regulation and Reporting
Compliance/AML - Filiale Estera,Compliance/AML - Foreign Branch
CIB Risk Control Unit,CIB Risk Control Unit
Operational Risk & Product Governance,Operational Risk & Product Governance
Audit Foreign Network IMI-CIB,IMI-CIB Foreign Network audit
Audit Tesoreria e Banking Book,Treasury Audit and Banking Book
Cost Management IMI CIB,Cost Management IMI CIB
Audit Trading e Capital Markets,Audit Trading and Capital Markets
Supporto Finanza e Coordinamento Flussi Informativi,Finance Support and Information Flow Coordination
Securities,Securities
Product Control,Product Control
Group Banking Book and Liquidity Risk,Group Banking Book and Liquidity Risk
Market and Counterparty Internal Models,Market and Counterparty Internal Models
Market and Counterparty Risk Governance and Reporting,Market and Counterparty Risk Governance and Reporting
Normative Speciali e Informativa Societaria,Special Regulations and Corporate Information
Investor Relations,Investor Relations
Price-Sensitive Communication,Price-Sensitive Communication
Segreteria CdA e Comitato di Direzione,Board Secretariat and Management Committee
Segreteria Comitati Consiliari,Board Committees Secretariat
Struttura responsabile dell'operazione - SOP,Structure responsible for the operation - SOP
Segreteria Comitato per il Controllo sulla Gestione e Organismo di Vigilanza 231/2001,Secretariat of the Management Control Committee and Supervisory Body 231/2001
Segreterie dei Comitati,Committee secretariats
Gestore Digitale,Digital Manager
Coordinatore Commerciale Digitale Remoto,Remote Digital Commercial Coordinator
Direttore Filiale Digitale,Digital Branch Manager
Coordinatore Commerciale Digitale,Digital Sales Coordinator
Gestore Digitale Remoto,Remote Digital Manager
Direttore Filiale Digitale Remota,Remote Digital Branch Manager
ISPB - Direttore Filiale HNWI,ISPB - HNWI Branch Manager
ISPB - Global Relationship Manager,ISPB - Global Relationship Manager
ISPB - Team Leader,ISPB - Team Leader
Gestore abilitato all' OFS,OFS-enabled manager
ISPB - Agente,ISPB - Agent
ISIA,ISIA
Intesa Sanpaolo Vita,Intesa Sanpaolo Vita
Specialista Coordinamento Territoriale Prodotti e Segmenti - Direzione Impact,Territorial Coordination Specialist for Products and Segments - Impact Department
