Italian,English
Finanza in Conto Proprio - Titoli,Own Account Finance - Securities
Concessione - Privati - Accollo e Liberazione Coobbligato mutuo,Concession - Private - Acceptance and Release Mortgage co-obligor
Credit Risk Mitigation - Garanzie Pignoratizie,Credit Risk Mitigation - Attached Guarantees
Adempimenti Obbligatori - Pignoramenti,Mandatory Fulfillments - Foreclosures
Gestione della Conformita' - Gestione ambito normativo Tutela ambientale,Compliance Management - Regulatory management Environmental protection
Bilancio e Pillar III - Bilancio d'Impresa,Financial Statements and Pillar III - Corporate Financial Statements
Leasing - Gestione Asset Leasing Real Estate,Leasing - Real Estate Leasing Asset Management
Gestione della Conformita' - Gestione ambito normativo Markets in Financial Instruments Directive (MiFID II),Compliance Management - Regulatory Management Markets in Financial Instruments Directive (MiFID II)
Service Transition - Progettazione e Sviluppo FM,Service Transition - FM Design and Development
Finanziamenti - Finanziamenti Agevolati a seguito di Calamita' Naturali,Loans - Subsidized loans following natural disasters
Prodotti e Servizi Finanziari - Pronti Contro Termine,Financial Products and Services - Repurchase Agreements
Gestione della Conformita' - Gestione ambito normativo Markets in Financial Instruments Directive (MiFID II) - Negoziazione Algoritmica,Compliance Management - Regulatory Management Markets in Financial Instruments Directive (MiFID II) - Algorithmic Trading
Gestione della Conformita' - Gestione ambito normativo Internal Dealing - Insider List Proprietaria,Compliance Management - Internal Dealing Regulatory Management - Proprietary Insider List
Ramo Vita - Fondi Pensione,Life branch - Pension funds
"Sviluppo Prodotti, Servizi e Accordi Commerciali - Crowdfunding","Product Development, Services and Commercial Agreements - Crowdfunding"
Corporate Finance - Sindacazione ONE,Corporate Finance - ONE Syndication
Sicurezza Fisica - Accessi,Physical Security - Access
"Ramo Vita - Prodotti di Investimento Assicurativi - Polizze Vita Ramo I, Ramo III, Ramo V e Multiramo","Life Class - Insurance Investment Products - Class I, Class III, Class V and Multi-class Life policies"
Cessione Crediti - Cessione di Crediti Deteriorati e Portafogli di Crediti Deteriorati e Misti,Loan Assignment - Assignment of Impaired Loans and Portfolios of Impaired and Mixed Loans
Adempimenti Obbligatori - Revisori Contabili della Clientela e altre Certificazioni,Mandatory Fulfillments - Customer Auditors and other Certifications
Rischio di Credito - Calcolo delle Misure Regolamentari e Gestionali,Credit Risk - Calculation of Regulatory and Management Measures
Finanziamenti - Gestione Mutui e Finanziamenti in ammortamento,Loans - Management of mortgages and amortization loans
Sicurezza Fisica - Prevenzione,Physical Security - Prevention
Gestione del Credito Deteriorato - Gestione Inadempienza Probabile,Non-Performing Loan Management - Probable Default Management
Risorse Umane - Gestione del Personale Dipendente,Human Resources - Employee Personnel Management
Valutazioni ai fini di Bilancio - Valutazione Crediti,Assessments for Financial Statements - Credit Assessment
Conti e Depositi - Gestione Liquidita' di conto corrente,Accounts and Deposits - Management of current account liquidity
Segnalazioni - Centrale Rischi Banca d'Italia,Notifications - Bank of Italy Central Credit Register
Prodotti e Servizi Finanziari - Bond e Certificates,Financial Products and Services - Bonds and Certificates
Estero - Crediti documentari export,Abroad - Export documentary credits
Finanza in Conto Proprio - Gestione del Collateral,Own Account Finance - Collateral Management
Concessione - Privati - Prestiti Personali e Linea di Credito Rateale - Retail Lending Open,Concession - Individuals - Personal Loans and Installment Credit Line - Retail Lending Open
Gestione del Credito Deteriorato - Gestione Sofferenze Leasing,Management of non-performing credit - management of bad debts leasing
Rating - Attribuzione e Gestione Rating - Segmento Regolamentare Corporate,Rating - Attribution and Rating Management - Corporate Regulatory Segment
Concessione - Finanziamenti alle Imprese a Stato Avanzamento Lavori,Concession - Loans to companies in the progress of the works
Segnalazioni - Segnalazioni Prudenziali (COREP),Reports - Prudential Reports (COREP)
Fiscalita' - Fiscalita' sul Credito,Taxation - Credit taxation
Finanza in Conto Terzi - Derivati Regolamentati,Third Party Finance - Regulated Derivatives
Gestione della Conformita' - Gestione ambito normativo Embarghi,Compliance Management - Management of the Embargo regulatory framework
Garanzie Domestiche Passive e Garanzie Internazionali - Garanzie internazionali rilasciate,Passive Domestic Guarantees and International Guarantees - International guarantees issued
Incassi e Pagamenti - ADUE SDD,Collections and Payments - ADUE SDD
Pianificazione e Controllo di Gestione - Controllo di Gestione,Planning and Management Control - Management Control
Carte di pagamento - Carte di debito e di servizio,Payment Cards - Debit and Service Cards
Portafoglio - Anticipo Fatture Estero - Finanziamenti Finanziari - Export Facile,Portfolio - Advance on Foreign Invoices - Financial Financing - Easy Export
Finanziamenti - Gestione Contributi,Funding - Contribution Management
Gestione della Conformita' - Gestione ambito normativo Operazioni con parti correlate - Soggetti collegati e Obbligazioni degli esponenti bancari,Compliance Management - Regulatory management Transactions with related parties - Associated parties and Obligations of bank representatives
Credit Risk Mitigation - Garanzie di fondi,Credit Risk Mitigation - Guarantees of funds
Prodotti e Servizi Finanziari - Deposito Amministrato,Financial Products and Services - Administered Deposit
Strategie - Capital Management,Strategies - Capital Management
