Italian,English
Finanza in Conto Proprio - Titoli - Gestione delle aste e delle emissioni sindacate del Tesoro Italiano,Own account finance - Securities - Management of auctions and syndicated issues of the Italian Treasury
Concessione - Privati - Accollo e Liberazione Coobbligato mutuo - Offerta del servizio di accollo da Costruttore,Concession - Private individuals - Acceptance and release Mortgage debtor - Offer of acceptance service from Builder
Garanzie Pignoratizie - Particolarita' per Gestione di Portafoglio Mobiliare,Secured Guarantees - Particularities for Securities Portfolio Management
Pignoramenti - Gestione atto di pignoramento o richiesta da parte dell'Autorita' di Vigilanza,Foreclosures - Management of the attachment deed or request from the Supervisory Authority
Adempimenti su rifiuti prodotti da attivita' in appalto,Fulfillments on waste produced by contracted activities
Bilancio d'Impresa - Alimentazione dell'applicativo di Bilancio,Corporate Financial Statements - Feeding of the Financial Statements application
Gestione Asset Leasing Real Estate - Vendita bene e chiusura della posizione,Real Estate Asset Leasing Management - Sale of assets and closure of the position
Redazione della Dichiarazione in tema di salvaguardia dei beni dei clienti,Drafting of the Statement regarding the safeguarding of customer assets
Gestione POUN,POUN management
Delibera e Perfezionamento-Finanziamenti Agevolati a seguito di Calamita' Naturali,Resolution and Improvement-Subsidized Loans following Natural Calamities
Pronti Contro Termine - Acquisto,Repurchase Agreements - Purchase
Validazione - monitoraggio e gestione modifiche degli algoritmi di trading,Validation - tracking and managing changes to trading algorithms
Internal Dealing - Insider List Proprietaria - Verifica della Price sensitivity delle pratiche da sottoporre al Consiglio di Amministrazione e ai Comitati,Internal Dealing - Proprietary Insider List - Verification of the Price sensitivity of the files to be submitted to the Board of Directors and to the Committees
Adesione individuale o Adesione collettiva a forme pensionistiche complementari e attività di segnalazione,Individual membership or Collective membership of supplementary pension schemes and reporting activities
Valutazione della ONP per Progetti di Donazione e Prestito di Comunita',Evaluation of the ONP for Community Donation and Loan Projects
Sindacazione ONE - Originate to Share - Approvazione,ONE Syndication - Originate to Share - Approval
Bilancio d'Impresa - Scritture di integrazione,Corporate balance sheet - Integration entries
Definizione o riconsiderazione di varchi di accesso di primo o secondo livello,Definition or reconsideration of first or second level access gates
Gestione delle polizze in prescrizione a seguito di scadenza o sinistro,Management of policies in prescription following expiry or accident
Cessione di Crediti Deteriorati e Portafogli di Crediti Deteriorati e Misti - Cessione Portafoglio e Single Name sopra soglia - Deal Execution,Disposal of Non Performing Loans and Portfolios of Non Performing and Mixed Loans - Portfolio Disposal and Single Name above threshold - Deal Execution
Fondo interbancario di Garanzia - Certificazione riversamento trimestrale,Interbank Guarantee Fund - Quarterly reversal certification
Calcolo metriche di rischio di credito in alta frequenza,Calculation of high frequency credit risk metrics
Rinegoziazione Mutui - Privati e Dipendenti Gruppo Intesa Sanpaolo,Renegotiation of Mortgages - Individuals and Intesa Sanpaolo Group Employees
Attivita' da svolgere a seguito di altri danneggiamenti in Filiale,Activities to be carried out following other damages in the Branch
Inadempienza Probabile - Gestione delle iniziative sulle controparti - Perimetro BdT,Unlikely to pay - Management of initiatives on counterparties - BdT perimeter
Adempimenti amministrativi in attuazione di cessione ramo di azienda Infragruppo,Administrative fulfilments in implementation of the transfer of the intragroup business unit
Valutazioni analitiche - Sofferenze,Analytical evaluations - Non-performing loans
Time Deposit Vincolati - Accensione ed estinzione a scadenza,Restricted Time Deposits - Activation and extinction upon expiry
Classificazione della clientela Persone Giuridiche e clienti Pubblici italiani - CIB,Classification of customers Legal persons and Italian public customers - CIB
Segnalazioni mensili Centrale Rischi,Monthly reporting Central Risks
Post vendita certificates,After sales certificates
Rilascio e Scarico IRU -Irrevocable Reimbursement Undertaking,IRU Release and Discharge - Irrevocable Reimbursement Undertaking
Gestione del Collateral - Calcolo e gestione marginazione - Initial Margin,Collateral management - Margin calculation and management - Initial Margin
Concessione - Privati - Prestiti Personali Prestito Finalizzato e Linea di Credito Rateale - Perfezionamento,Concession - Individuals - Personal Loans Finalized Loan and Installment Credit Line - Finalization
Gestione Sofferenze Leasing - Valutazione analitica Sofferenze Leasing - Provis,Management of Leasing Bad Loans - Analytical Evaluation of Leasing Bad Loans - Provis
Corporate - Analisi delle caratteristiche della controparte per la riconferma l'estensione o l'attribuzione del rating o la certificazione del rating benchmark o dell'unrated,"Corporate - Analysis of counterparty characteristics for reconfirmation, extension or assignment of rating or certification of benchmark or unrated rating"
Perfezionamento Credito Fondiario - Edilizio e Credito Industriale - Agrario a SAL,Finalization of Land Credit - Building and Industrial Credit - Agricultural to SAL
Gestione Sofferenze Leasing - Gestione adempimenti amministrativi,Management of bad debts Leasing - Management of administrative obligations
COREP Individuale (Base PRUI) _ Generazione flussi - verifica dati - invio segnalazione,Individual COREP (Base PRUI) _ Flow generation - data verification - reporting sending
Fiscalita' sul credito - Dichiarazione e versamento imposta sostitutiva su finanziamenti a MLT,Credit taxation - Declaration and payment of substitute tax on MLT loans
Derivati Regolamentati - Gestione clientela Execution Only,Regulated Derivatives - Execution Only Client Management
Gestione ambito normativo Embarghi - Tool Pelican ed applicazione del principio 4-eyes,Management of the regulatory framework Embargoes - Tool Pelican and application of the 4-eyes principle
Garanzie internazionali rilasciate - Escussione,International guarantees issued - Enforcement
ADUE - Debitore - SEDA Attivazione mandati,ADUE - Debtor - SEDA Activation of mandates
Alimentazione dei sistemi gestionali e controllo dei dati,Feeding of management systems and data control
Carte di debito e di servizio - Emissione richiesta da Clientela Privati - Offerta In Sede e Offerta Fuori Sede,Debit and service cards - Issuance requested by Private Customers - On-Site Offer and Off-Site Offer
Portafoglio Estero - Richiesta anticipi e finanziamenti,Foreign Portfolio - Request for advances and loans
Net Stable Funding Ratio consolidata (NSFR) _ Generazione flussi - verifica dati - consolidamento - invio segnalazione,Consolidated Net Stable Funding Ratio (NSFR) _ Flow generation - data verification - consolidation - reporting
Gestione Contributi - Gestione Contributi In Conto Rata,Contribution Management - Contribution Management In Installment Account
Rilascio benestare per operazioni di societa' controllate con Parti Correlate Intesa Sanpaolo S.p.A. e Soggetti Collegati del Gruppo,Release of approval for operations of subsidiaries with related parties Intesa Sanpaolo S.p.A. and Associated Persons of the Group
Eventi Successivi Garanzia Diretta 662 - 96,Subsequent Events Direct Guarantee 662 - 96
Gestione riversamento all'Erario tassazione titoli e OICR esteri - Clientela retail e corporate,Management of transfers to the Tax Authorities of taxation of foreign securities and UCIs - Retail and corporate customers
Capital Management - Predisposizione del Capital Plan - Elaborazione e calcolo,Capital Management - Preparation of the Capital Plan - Processing and calculation
Carte di credito - Revoca della Banca,Credit Cards - Revocation of the Bank
Gestione Contributi - Gestione Eventi Amministrativi,Contribution Management - Administrative Event Management
Gestione ambito normativo Embarghi - Acquisizione del parere preventivo della Direzione Centrale Anti Financial Crime per operazioni rilevanti in materia di Embarghi,Management of the regulatory framework for Embargoes - Acquisition of the prior opinion of the Anti-Financial Crime Head Office Department for significant transactions relating to Embargoes
Internal Dealing - Insider List Proprietaria - Individuazione Specifiche informazioni rilevanti e privilegiate e alimentazione delle Liste,Internal Dealing - Proprietary Insider List - Identification of specific relevant and privileged information and feeding of the Lists
Prodotti e Servizi Finanziari - Derivati OTC - Gestione Inadempimenti e relativo conto di servizio - BdT,Financial Products and Services - OTC Derivatives - Default Management and related service account - BdT
Resolution Templates,Resolution Templates
Polizze di Protezione - Motor - Emissione Polizze - Offerta a Distanza - Intesa Sanpaolo Agents4You,Protection Policies - Motor - Issuance of Policies - Distance Offering - Intesa Sanpaolo Agents4You
Agenda Regolamentare di Gruppo,Group Regulatory Agenda
Gestione allarmi,Alarm management
Valorizzazione strumenti finanziari per rendiconto titoli Deposito Amministrato,Valuation of financial instruments for Administered Deposit securities statement
Recupero e gestione banconote L3 non identificate con certezza come autentiche,Recovery and management of L3 banknotes not identified with certainty as authentic
Richiesta di copia di documentazione e di comunicazioni prodotte dalla Banca,Request for copy of documentation and communications produced by the Bank
Erogazione Prestito d'uso e Vendita Oro con pagamento differito,Provision of loan for use and sale of gold with deferred payment
Funding - Reportistica Operazioni a Medio Lungo Termine,Funding - Reporting of medium/long-term transactions
Gestione fornitori Standard,Standard supplier management
Gestione Ordinaria degli Incidenti di Sicurezza,Ordinary Management of Security Incidents
Attribuzione TIT MLT a valere su plafond autorizzato Step Up,Attribution of TIT MLT based on the authorized Step Up ceiling
Richiesta Licenze d'Uso - Evasione,User License Request - Fulfillment
Comodato di beni artistici,Loan of artistic assets
Modifica dell'orario di lavoro Aree Professionali full time,Change of working hours Professional Areas full time
Censimento e Gestione Controparte - Notizie negative,Census and Counterparty Management - Negative news
Sindacazione ONE - Originate to Share - Origination e strutturazione,Syndication ONE - Originate to Share - Origination and structuring
Accordo ABI per il Credito - Perfezionamento,ABI Agreement for Credit - Finalization
Crediti documentari import - Utilizzo e pagamento,Import documentary credits - Use and payment
Esercizio per la valutazione delle Banche di rilevanza sistemica globale (G-SIBs),Global Systemically Important Banks (G-SIBs) Assessment Exercise
Locazioni passive,Passive leases
Portafogli ipotetici - definizione e caricamento iniziale,Hypothetical portfolios - definition and initial loading
Presidio Sistema Online,Online System Control
