Italian,English
Strutture organizzative,organizational structures
Figure Professionali,Professional roles
Società del Gruppo,Group company
Gestione della Conformita',Compliance Management
Leasing,Leasing
Ramo Vita,Life branch
Sicurezza Fisica,Physical Security
Cessione Crediti,Credit assignment
Risorse Umane,Human resources
Valutazioni ai fini di Bilancio,Valuations for Financial Statements purposes
Segnalazioni,Reports
Finanza in Conto Proprio,Own account finance
Gestione del Credito Deteriorato,Management of non-performing credit
Fiscalita',taxation
Pianificazione e Controllo di Gestione,Planning and Management Control
Credit Risk Mitigation,Credit Risk Mitigation
Prodotti e Servizi Finanziari,Financial Products and Services
Strategie,Strategies
Relazioni istituzionali e Comunicazione esterna,Institutional Relations and External Communication
Servizi di Sportello,Branch services
Altri prodotti e servizi accessori,Other ancillary products and services
Service Transition,Service transition
Cybersecurity and Business Continuity Services,Cybersecurity and Business Continuity Services
Immobili e Patrimonio Artistico,Property and Artistic Heritage
Anagrafe,Registry office
Carte di pagamento,Payment cards
Corporate Finance,corporate finance
Rischio di Liquidita',Liquidity Risk
Sistema Integrato dei Controlli Interni,Integrated System of Internal Controls
Concessione,Grant
Adempimenti Obbligatori,Mandatory Fulfillments
Contenzioso e Consulenza Legale,Litigation and Legal Advice
Finanziamenti,Funding
Pricing e Modelli di Mercato,Pricing and Market Models
Incassi e Pagamenti,Receipts and payments
Estero,Abroad
Rischio di Credito,Credit risk
Governo societario e adempimenti societari,Corporate governance and corporate compliance
Cybersecurity and Business Continuity Projects,Cybersecurity and Business Continuity Projects
Acquisti e Cessione Beni,Purchases and Sale of Goods
Risk Strategy e Internal Capital & Liquidity Adequacy Assessment,Risk Strategy and Internal Capital & Liquidity Adequacy Assessment
Cybersecurity and Business Continuity Governance,Cybersecurity and Business Continuity Governance
Contabilita',Accounting'
Rischio Operativo,Operational risk
Finanza in Conto Terzi,Third Party Finance
Data Governance,Data Governance
"Sviluppo Prodotti, Servizi e Accordi Commerciali","Product Development, Services and Commercial Agreements"
Processi Amministrativi,Administrative processes
Bilancio e Pillar III,Budget and Pillar III
Intesa Sanpaolo,Intesa Sanpaolo
Rischio Finanziario di Banking Book,Banking Book Financial Risk
Portafoglio,Wallet
Service Design,Service Design
Rischio Mercato,Market risk
Outsourcing,Outsourcing
Service Strategy,Service Strategy
Ramo Danni,Damage branch
Service Operation,Service Operation
Risparmio Gestito,Managed savings
Organizzazione,Organization
Conti e Depositi,Accounts and Deposits
Customer Relationship Management,Customer Relationship Management
Gestione del Credito in Bonis in Monitoraggio,Management of Performing Credit under Monitoring
Servizi di Accesso ai Canali Digitali,Digital Channel Access Services
